It No., Best MQ, No clusters, max clus, min clus
1,2.1589851605297827,7,4,2
2,2.080237154150198,5,6,3
3,2.1441336441336443,6,5,2
4,2.086452762923351,5,6,3
5,2.12020202020202,6,6,2
6,1.9263241106719369,5,4,4
7,2.054678362573099,7,4,2
8,1.9281557152524893,4,6,4
9,2.007070707070707,6,5,2
10,2.097719671632715,6,5,2
11,1.9661975795102733,5,6,2
12,2.20776240667545,6,4,3
13,2.110916860916861,7,4,2
14,2.0524593763724197,8,4,1
15,2.197161297544929,5,6,2
16,2.151289785729145,6,4,2
17,2.2622236861367293,6,5,2
18,2.0147355912061795,6,6,2
19,2.20776240667545,6,4,3
20,2.171409749670619,6,4,3
21,2.1553398356029936,6,4,3
22,2.1515584754715187,6,5,2
23,2.1257177033492822,7,4,2
24,2.1262689001819437,7,4,2
25,2.0934343434343434,7,4,2
26,2.1185463328941587,7,4,2
27,2.11231884057971,5,4,4
28,2.161861085774129,6,6,2
29,2.104596128509172,6,4,2
30,2.2158033423479644,6,4,2
31,1.998755672668716,5,4,4
