0: [[1, 20, 2], [5, 11, 7], [3, 12, 4, 6], [15, 8, 13], [10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
1: [[1, 20, 2], [5, 11, 7], [3, 12, 4, 6], [15, 8, 13], [10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
2: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
3: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
4: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
5: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
6: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
7: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
8: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
9: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
10: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
11: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
12: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
13: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
14: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
15: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
16: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
17: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
18: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
19: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
20: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
21: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
22: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
23: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
24: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
25: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
26: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
27: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
28: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
29: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
30: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
31: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22], [21, 23, 24]]
32: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17], [19, 18, 16, 22], [21, 23, 24]]
33: [[1, 20, 2], [5, 11], [7, 3, 12], [4, 6, 15], [8, 13, 10], [14, 9, 17, 19], [18, 16, 22], [21, 23, 24]]
34: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22, 21, 23, 24]]
35: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22, 21, 23, 24]]
36: [[1, 20, 2], [5, 11, 7], [3, 12, 4], [6, 15, 8], [13, 10, 14], [9, 17, 19], [18, 16, 22, 21, 23, 24]]
37: [[1, 20, 2], [5, 11, 7], [3, 12, 4, 6, 15, 8, 13, 10, 14, 9, 17, 19], [18, 16, 22, 21, 23, 24]]
