0: [[1, 2, 4, 5, 8, 15, 9, 6], [7, 10, 11, 14], [12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
1: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
2: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
3: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
4: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
5: [[3, 6, 1, 2, 4], [5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
6: [[3, 6, 1, 2, 4], [5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
7: [[3, 6, 1, 2, 4], [5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
8: [[3, 6, 1, 2], [4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
9: [[1, 2, 4, 5, 8, 15, 9, 6], [7, 10, 11, 14], [12, 13, 19, 16, 3], [18, 17, 20, 22], [23, 21, 24]]
10: [[3, 6, 1, 2, 4, 5], [8, 15], [9, 7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
11: [[3, 6, 1, 2, 4, 5], [8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20], [22, 23, 21, 24]]
12: [[1, 2], [4, 5, 8, 15, 9, 7, 10, 11, 14, 6], [12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
13: [[1, 2, 4, 5, 8, 15, 6], [9, 7, 10, 11, 14], [12, 13, 19], [16, 18, 17, 20, 22, 3], [23, 21, 24]]
14: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
15: [[3, 6, 1], [2, 4, 5, 8, 15, 9], [7, 10, 11, 14], [12, 13, 19, 16, 18, 17, 20, 22], [23, 21, 24]]
