0: [[11, 6, 8], [13, 7], [5, 3, 1], [12, 2, 9], [4, 10]]
1: [[11, 6, 8], [13, 7], [5, 3, 1], [12, 2, 9], [4, 10]]
2: [[11, 6, 8], [13, 7], [5, 3, 1], [12, 2, 9], [4, 10]]
3: [[11, 6, 8], [13, 7], [5, 3, 1], [12, 2, 9], [4, 10]]
4: [[11, 6], [8, 13, 7], [5, 3, 1], [12, 9, 2], [10, 4]]
5: [[11, 6], [8, 13, 7], [5, 3, 1], [12, 9, 2], [10, 4]]
6: [[11, 6], [8, 13, 7], [5, 3, 1], [12, 2], [9, 10, 4]]
7: [[11, 6, 8], [13, 7], [5, 3, 1, 12, 2, 9, 4, 10]]
8: [[11, 6, 8], [13, 5, 3, 7], [1, 12, 2], [9, 10, 4]]
9: [[11, 6], [8, 13, 7], [5, 3], [1, 12, 2], [9, 10, 4]]
10: [[11, 6, 8], [13], [5, 3, 1, 4], [9, 12, 10, 2, 7]]
11: [[11, 6], [8, 13, 7], [5, 3], [1, 12, 2], [9, 10, 4]]
12: [[11, 6], [8, 13, 7], [5, 3], [1, 12, 2], [9, 10, 4]]
13: [[11, 6], [8, 13, 7], [5, 3], [1, 12, 2], [9, 10, 4]]
14: [[11, 6], [8, 13, 7], [5, 3], [1, 12, 9, 10, 2, 4]]
15: [[11, 6, 8], [13, 7, 5], [3, 1], [12, 2, 9], [4, 10]]
16: [[11, 6, 8], [13, 7, 5, 3], [1, 4], [2, 9, 10, 12]]
17: [[11, 6, 8], [13, 7, 5], [3, 1], [12, 2, 9], [4, 10]]
18: [[11, 6, 8], [13, 7, 5, 1, 3], [12, 2, 9, 4, 10]]
19: [[11, 6, 8], [13], [5, 1, 2, 3], [12], [9, 7], [10, 4]]
20: [[11, 6, 8], [13, 7], [1, 3, 4], [5, 9, 2], [10, 12]]
21: [[11, 6], [8, 13, 5, 2], [3, 1, 4], [12, 9, 7], [10]]
22: [[11, 6, 8], [13, 7, 5], [3, 1, 12], [2, 9], [4, 10]]
23: [[11, 6, 8], [13, 7, 5], [3, 1, 12], [2, 9], [4, 10]]
24: [[11, 6, 8], [13, 7, 5], [3, 1, 12], [2, 9], [4, 10]]
25: [[11, 6, 8], [13, 1], [3, 12, 7], [5, 9, 10, 2, 4]]
26: [[11, 6], [8, 13, 7, 5, 3], [1, 12, 2, 9, 4, 10]]
27: [[11, 6], [8, 13], [7, 5, 3, 1, 12, 2, 9, 4, 10]]
