0: [[10, 6, 1, 9, 3, 4, 5, 2], [7, 13, 12], [8, 11]]
1: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
2: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
3: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
4: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
5: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
6: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
7: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
8: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
9: [[10, 6, 1, 9, 3, 2, 4, 5], [7, 13, 12], [8, 11]]
10: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
11: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
12: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
13: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
14: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
15: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
16: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
17: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
18: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
19: [[10, 6, 1, 9, 3, 2, 4], [5, 7, 13, 12], [8, 11]]
20: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
21: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
22: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
23: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
24: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
25: [[10, 6, 1, 9, 3, 2, 4, 5, 7], [13, 12], [8, 11]]
26: [[10, 6, 1, 9, 3, 2], [4, 5, 7, 13, 12], [8, 11]]
27: [[10, 6, 1, 9, 3, 2], [4, 5, 7, 13, 12], [8, 11]]
