0: [[8, 13, 7], [1, 4, 3, 5, 10, 12, 2], [11, 6, 9]]
1: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
2: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
3: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
4: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
5: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
6: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
7: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
8: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
9: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
10: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
11: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
12: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
13: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
14: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
15: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
16: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
17: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
18: [[8, 13, 7], [2, 1, 4, 3, 5, 10], [12, 11, 6, 9]]
19: [[8, 13, 7], [2, 1, 4, 3, 5, 10], [12, 11, 6, 9]]
20: [[8, 13, 7, 2], [1, 4, 3, 5, 10], [12, 11, 6, 9]]
21: [[8, 13, 7], [2, 1, 4, 3, 5], [10, 12, 11, 6, 9]]
22: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12, 11], [6, 9]]
23: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12, 11], [6, 9]]
24: [[8, 13, 7], [2, 1, 4, 3, 5, 10, 12, 11], [6, 9]]
25: [[8, 13], [7, 2, 1, 4, 3, 5, 10, 12], [11, 6, 9]]
26: [[8, 13], [7, 2, 1, 4, 3, 5, 10], [12, 11, 6, 9]]
27: [[8, 13], [7, 2, 1, 4, 3, 5, 10], [12, 11, 6, 9]]
