0: [[1, 2], [3, 22, 5, 4, 6], [15, 8], [14, 10, 9], [11, 7], [12, 13, 16, 17, 18, 19, 20], [21, 23, 24]]
1: [[2], [22, 4], [6, 15, 8, 5], [14, 10, 9], [11, 7], [12, 13, 16, 3], [17, 18], [19, 20, 1], [21, 23, 24]]
2: [[2], [22, 4], [6, 15, 8, 5], [14, 10, 9], [11, 7], [12, 13, 16, 3], [17, 18], [19, 20, 1], [21, 23, 24]]
3: [[2], [22], [4, 6, 3, 5], [15, 8], [14, 10], [9, 11, 7], [12, 13], [16, 17, 18], [19, 20, 1], [21, 23, 24]]
4: [[2], [22], [4, 6, 3, 5], [15, 8], [14, 10, 9], [11, 7], [12, 13], [16, 17], [18, 19, 20, 1], [21, 23, 24]]
5: [[2], [22], [4], [6, 15, 8, 5], [14, 10, 9], [11, 7], [12, 13], [16, 17, 3], [18, 19, 20, 1], [21, 23, 24]]
6: [[2], [22], [4, 6, 5], [15, 8], [14, 10, 9, 11], [7, 12], [13, 16, 3], [17, 18], [19, 20, 1], [21, 23, 24]]
7: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9], [11, 7], [12, 13], [16, 17, 3], [18, 19, 20, 1], [21, 23, 24]]
8: [[2], [22], [6, 15, 8, 5, 4], [14, 10], [9, 11], [7, 12], [13, 16, 3], [17, 18], [19, 20, 1], [21, 23, 24]]
9: [[2], [22], [4], [6, 15], [8, 14, 10], [9, 11, 7], [12, 13, 5], [16, 17, 3], [18, 19, 20, 1], [21, 23, 24]]
10: [[2], [22], [4], [6, 15], [8, 14, 10], [9, 11], [7, 12, 13, 5], [16, 17, 18, 3], [19, 20, 1], [21, 23, 24]]
11: [[2], [22], [4], [6, 15, 8, 5], [14, 10, 9, 11], [7, 12], [13, 16, 3], [17, 18], [19, 20, 1], [21, 23, 24]]
12: [[2], [22], [4], [6, 15], [8, 14, 5], [10, 9, 3], [11, 7, 12], [13, 16, 1], [17, 18, 19, 20], [21, 23, 24]]
13: [[2], [22], [4], [6, 15], [8, 14, 5], [10, 9, 11], [7, 12, 13], [16, 17, 18, 3], [19, 20, 1], [21, 23, 24]]
14: [[2], [22], [4, 6, 15, 5], [8, 14], [10, 9, 1, 3], [11, 7], [12, 13], [16, 17, 18, 19, 20, 21], [23, 24]]
15: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9], [11, 7], [12, 13], [16, 17, 18, 3], [19, 20, 21, 1], [23, 24]]
16: [[2], [22], [4], [6, 15, 5], [8, 14, 10, 9], [11, 7], [12, 13, 16, 17, 18, 3], [19, 20, 21, 1], [23, 24]]
17: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 1], [11, 7], [12, 13], [16, 17, 18, 19, 3], [20, 21], [23, 24]]
18: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 1], [11, 7], [12, 13], [16, 17, 18, 19, 3], [20, 21], [23, 24]]
19: [[2, 1], [22], [4], [6, 15, 8, 5], [14, 10], [9, 11, 7], [12, 13, 16, 3], [17, 18, 19], [20, 21, 23, 24]]
20: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 1], [11, 7], [12, 13, 16, 3], [17, 18, 19], [20, 21], [23, 24]]
21: [[2], [22], [4], [6, 15], [8, 14, 5], [10, 9, 11], [7, 12], [13, 16, 1, 3], [17, 18, 19, 20], [21, 23, 24]]
22: [[2], [22], [4], [6, 15, 8, 5], [14, 10, 9], [11, 7, 12], [13, 16, 1, 3], [17, 18, 19], [20, 21], [23, 24]]
23: [[2], [22], [6, 15, 5, 4], [8, 14], [10, 9, 1], [11, 7], [12, 13], [16, 17, 3], [18, 19], [20, 21], [23, 24]]
