0: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
1: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
2: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
3: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
4: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
5: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
6: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
7: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
8: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
9: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
10: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
11: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
12: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
13: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
14: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
15: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
16: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
17: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
18: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
19: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
20: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
21: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
22: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
23: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
24: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
25: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
26: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
27: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
28: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
29: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
30: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
31: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 18, 16, 17, 23, 28, 24, 10], [21, 15, 25, 20, 27, 26, 29]]
32: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
33: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
34: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
35: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
36: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
37: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
38: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
39: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
40: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
41: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
42: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
43: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
44: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14], [9, 23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
45: [[22, 6, 2, 19, 1, 7, 5], [11, 3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
46: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
47: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
48: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 9, 12, 14], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
49: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
50: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
51: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
52: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
53: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
54: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
55: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
56: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [18, 16, 17, 23, 28, 24, 10], [21, 15, 29, 20, 25, 26, 27]]
57: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
58: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
59: [[22, 6, 2, 19, 1, 7, 5, 11], [3, 13, 8, 4, 12, 14, 9], [23, 16, 17, 18, 28, 24, 10], [21, 15, 29, 20, 27, 26, 25]]
