0: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 14, 15], [9, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
1: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 14, 15], [9, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
2: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 14, 15], [9, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
3: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
4: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
5: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
6: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 9, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
7: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
8: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 11, 9, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
9: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
10: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 9, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
11: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
12: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
13: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
14: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 11, 9, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
15: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
16: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
17: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 11, 13, 9, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
18: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 11, 9, 13], [14, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
19: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [15, 9, 11, 13], [14, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
20: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
21: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 13, 9, 15, 11, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
22: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 15, 9, 11, 13, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
23: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
24: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 15, 9, 13, 14, 11], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
25: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 13, 9, 11, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
26: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 15, 11, 13, 9, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
27: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 13, 11, 9, 15, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
28: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10], [12, 13, 9, 15, 11, 14], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
29: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 12], [13, 9, 11, 14], [15, 16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
30: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 14], [13, 11, 9, 15, 12], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
31: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 14], [13, 11, 9, 15, 12], [16, 18, 17, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
32: [[19, 8, 2, 1, 7], [5, 3, 4, 6, 10, 14], [13, 9, 11, 12], [15, 16, 17, 18, 23, 22], [20, 28, 24, 25], [21, 27, 26, 29]]
