0: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 5, 15, 8, 28, 18, 10], [9, 11, 23, 22, 24, 16], [19, 14, 26, 27, 31, 20], [30, 25, 39, 37, 29, 48, 32], [33, 47, 44, 42, 46, 58, 41, 50, 45, 40, 43, 51, 38, 36, 52, 53, 54, 55], [49, 59, 57], [60, 56]]
1: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 5, 15, 9, 28, 26, 10, 8, 11, 31, 20, 18], [16, 19, 14, 22, 27, 23], [25, 24, 29, 55, 32, 30], [48, 36, 33, 39, 42, 40], [44, 46, 41, 59, 37, 38, 43], [51, 50, 53, 52, 45, 58, 54], [47, 57, 49], [60, 56]]
2: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 8, 15, 9, 28, 10, 14, 12, 11, 26, 16, 18, 20, 23, 22, 31, 27, 24, 25, 19, 29, 39, 33, 36, 30, 41, 44, 32, 37, 43, 38, 42, 40, 54, 47, 45, 51, 53, 46, 50, 48, 55, 56], [58, 52, 49, 59, 60, 57]]
3: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 11], [15, 8, 30, 26, 10, 9, 14, 12, 27, 16, 19, 20, 23, 24, 18, 22, 25, 28], [29, 42, 60], [52, 33], [37, 41, 31, 38, 32, 43, 39, 36, 44, 40, 46, 47, 56, 50, 45, 48, 53, 55], [57, 49, 51, 54, 58, 59]]
4: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 8, 14, 9, 29, 26, 12, 10], [15, 31, 24, 11, 20], [22, 16, 19, 27, 25, 23, 28], [54, 37, 55, 32, 33, 30], [38, 44, 40, 18], [36, 43, 46, 56, 41, 39], [60, 52, 50, 47, 42, 48, 57, 49, 45, 58], [51, 53, 59]]
5: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 8, 14, 9, 29, 26, 12, 10], [15, 31, 24, 11, 20], [22, 16, 19, 27, 25, 23, 28], [54, 37, 55, 32, 33, 30], [38, 44, 40, 18], [36, 43, 46, 56, 41, 39], [60, 52, 50, 47, 42, 48, 57, 49, 45, 58], [51, 53, 59]]
6: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 5, 31, 8, 28, 18, 10], [9, 15, 22, 11, 25, 19], [20, 14, 16, 29], [23, 24, 26, 27, 55, 37], [30, 48, 32, 33, 47, 36, 46], [42, 58, 41, 50, 39, 40, 43, 51], [38, 45, 44, 53], [56, 54, 49, 59, 57, 60, 52]]
7: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [5, 11, 31, 8, 28, 18, 10, 9], [14, 22, 12, 25, 19, 15], [30, 16, 20, 23, 24, 26], [32, 55, 37, 29, 48, 27, 33], [45, 36, 46, 47, 58, 41, 50, 39, 40, 43, 51], [38, 42, 44, 53], [56, 54, 49, 59, 52, 60, 57]]
8: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 12, 30, 11, 18, 10, 14, 9, 23, 19], [20, 16, 27, 28, 25, 24, 29, 26, 22, 51, 45, 36, 37, 31, 33, 32], [46, 47, 40, 41, 38, 42, 43, 44, 59, 50, 52, 48, 55, 49, 39, 53, 54, 56, 60, 57, 58]]
9: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6, 4], [5, 9, 11, 10, 30], [26, 8, 14, 12, 20], [16, 15, 18, 19, 22], [28, 29, 23, 31, 24, 27, 25, 37, 33, 32], [44, 36, 45, 40, 46, 50, 47, 38, 60, 42], [39, 41, 58, 53], [48, 52, 54, 43, 51], [49, 55, 59, 57, 56]]
10: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 5, 9, 15, 8, 28, 11, 14, 10, 19, 30], [16, 31, 12, 18, 22, 20, 23, 24, 27, 25, 26, 38, 37, 48, 47, 29, 36, 41, 40, 32, 44, 39, 42, 58, 33, 43, 52, 55], [51, 45, 46, 49, 50, 53, 59, 56, 54, 57], [60]]
