0: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 4, 6], [11, 13, 12, 9], [15, 19, 18, 20, 17]]
1: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
2: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
3: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
4: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
5: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
6: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
7: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
8: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
9: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
10: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
11: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
12: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
13: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
14: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
15: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
16: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
17: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
18: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
19: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
20: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
21: [[8, 5, 2, 10, 7, 1], [3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
22: [[8, 5, 2, 10, 7, 1], [3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
23: [[8, 5, 2, 10, 7], [1, 3, 6, 16, 14, 4], [11, 13, 12, 15, 9], [19, 18, 20, 17]]
24: [[8, 5, 2, 10, 7], [1, 3, 6, 16, 14, 4], [11, 13, 12, 15, 9], [19, 18, 20, 17]]
25: [[8, 5, 2, 10, 7, 1], [3, 6, 16, 14, 4], [11, 13, 12, 15, 9], [19, 18, 20, 17]]
26: [[8, 5, 2, 10, 7, 1], [3, 6, 16, 14, 4], [11, 13, 12, 15, 9], [19, 18, 20, 17]]
27: [[8, 5, 2, 10, 7, 1], [3, 16, 14, 11, 6, 4], [9, 13, 12], [15, 19, 18, 20, 17]]
28: [[8, 5, 2, 10, 7, 1], [3, 16, 14, 11, 6, 4], [9, 13, 12], [15, 19, 18, 20, 17]]
29: [[8, 5, 2, 10, 7], [1, 3, 16, 14, 6, 4], [11, 9, 13], [12, 15, 19, 18, 20, 17]]
30: [[8, 5, 2, 10, 7], [1, 3, 16, 6, 4], [14, 11, 9, 13, 12], [15, 19, 18, 20, 17]]
31: [[8, 5, 2, 10, 7], [1, 3, 16, 6, 4], [14, 11, 9, 13, 12], [15, 19, 18, 20, 17]]
32: [[8, 5, 2, 10], [7, 1, 3, 16, 14, 6, 4], [11, 9, 13, 12], [15, 19, 18, 20, 17]]
33: [[8, 5, 2, 10, 7], [1, 3, 6, 16, 14, 11, 4], [13, 12, 15, 9], [19, 18, 20, 17]]
34: [[8, 5, 2, 10, 7, 1], [3, 6, 16, 14, 11, 4], [13, 12, 15, 9], [19, 18, 20, 17]]
35: [[8, 5, 2, 10, 7, 1], [3, 6, 16, 14, 11, 4], [13, 12, 15, 9], [19, 18, 20, 17]]
36: [[8, 5, 2, 10, 7, 1], [3, 16, 14, 11, 6, 4], [9, 13], [12, 15, 19, 18, 20, 17]]
37: [[8, 5, 2, 10, 7, 1, 3], [16, 14, 11, 6, 4], [9, 13, 12], [15, 19, 18, 20, 17]]
38: [[8, 5, 2, 10, 7], [1, 3, 16, 6, 4], [14, 11, 9, 13], [12, 15, 19, 18, 20, 17]]
39: [[8, 5, 2, 10], [7, 1, 3, 16, 6, 4], [14, 11, 9, 13, 12], [15, 19, 18, 20, 17]]
40: [[8, 5, 2, 10, 7, 1, 3], [6, 16, 14, 11, 4], [13, 12, 15, 9], [19, 18, 20, 17]]
41: [[8, 5, 2, 10], [7, 1, 3, 6, 16, 4], [14, 11, 13, 12, 15, 9], [19, 18, 20, 17]]
