0: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24, 27], [25, 26, 28], [30, 31, 33, 34, 32], [35, 36, 37]]
1: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33, 34], [32, 35, 36, 37]]
2: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33, 34], [32, 35, 36, 37]]
3: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23], [20, 24], [27], [25, 26, 28], [30, 31, 33, 34, 32, 35, 36, 37]]
4: [[1, 3, 4], [29, 7, 2, 22], [8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33], [34, 32], [35, 36, 37]]
5: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12], [16, 19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33, 34], [32, 35, 36, 37]]
6: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33], [34, 32], [35, 36, 37]]
7: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17], [21, 18, 23, 20, 24], [27, 25, 26, 28], [30, 31, 33, 34, 32, 35, 36, 37]]
8: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20], [24, 27, 25, 26], [28, 30, 31, 33, 34], [32, 35, 36, 37]]
9: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31], [33, 34, 32], [35, 36, 37]]
10: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33], [34, 32], [35, 36], [37]]
11: [[1, 3, 4], [29, 7], [2, 22, 8], [6, 5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17], [21, 18], [23, 20, 24], [27, 25, 26, 28], [30, 31, 33, 34], [32, 35, 36, 37]]
12: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23], [20, 24, 27], [25, 26, 28], [30, 31, 33, 34, 32, 35, 36, 37]]
13: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17], [21, 18], [23, 20, 24], [27, 25, 26, 28], [30, 31, 33], [34, 32], [35, 36, 37]]
14: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11, 14], [10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20], [24, 27], [25, 26, 28], [30, 31], [33], [34, 32, 35], [36, 37]]
15: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16], [19, 15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28], [30, 31, 33], [34, 32], [35, 36, 37]]
16: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17], [21, 18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
17: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9, 12], [16, 19], [15, 17, 21], [18, 23, 20], [24, 27, 25], [26, 28], [30, 31, 33], [34, 32, 35, 36, 37]]
18: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10, 9], [12, 16, 19], [15, 17, 21], [18, 23, 20, 24], [27, 25, 26], [28, 30, 31, 33], [34, 32, 35, 36, 37]]
19: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24, 27, 25, 26, 28, 30, 31, 33, 34, 32, 35, 36, 37]]
20: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24], [27, 25, 26], [28, 30], [31, 33], [34, 32], [35, 36, 37]]
21: [[1, 3, 4], [29, 7, 2], [22, 8, 6], [5, 13], [11, 14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24], [27, 25, 26], [28, 30, 31, 33, 34, 32, 35, 36, 37]]
22: [[1, 3, 4], [29, 7], [2, 22, 8, 6], [5, 13, 11], [14, 10], [9, 12, 16], [19, 15, 17, 21], [18, 23, 20, 24], [27, 25, 26], [28, 30], [31, 33], [34, 32], [35, 36, 37]]
