0: [[38, 7, 78, 44, 55], [25, 5, 1, 2, 49], [86, 6, 68, 57], [84, 85], [16, 19], [32], [69, 10, 39, 53], [11, 74, 75], [47, 17, 21], [61, 27, 71, 73], [3, 26, 8], [64, 65], [45, 18, 56], [79, 9, 66, 72], [28, 30], [35, 20, 31, 40, 51], [36, 23], [4, 58], [37, 67], [48, 24, 12, 13, 22], [34], [76, 42, 63], [41, 46, 15], [52], [83], [50, 54], [60, 87, 62, 70, 77, 14, 29, 33, 59, 88, 80, 81, 82, 43]]
1: [[38, 7, 78, 44, 55], [25, 5, 1, 2, 49], [86, 6, 68, 57], [84, 85], [16, 19], [32], [69, 10, 39, 53], [11, 74, 75], [47, 17, 21], [61, 27, 71, 73], [3, 26, 8], [64, 65], [45, 18, 56], [79, 9, 66, 72], [28, 30], [35, 20, 31, 40, 51], [36, 23], [4, 58], [37, 67], [48, 24, 12, 13, 22], [34], [76, 42, 63], [41, 46, 15], [52], [83], [50, 54], [60, 87, 62, 70, 77, 14, 29, 33, 59, 88, 80, 81, 82, 43]]
2: [[38, 7, 78, 44, 55], [25, 5, 1, 2, 49], [86, 6, 68, 57], [84, 85], [16, 19], [32], [69, 10, 39, 53], [11, 74, 75], [47, 17, 21], [61, 27, 71, 73], [3, 26, 8], [64, 65], [45, 18, 56], [79, 9, 66, 72], [28, 30], [35, 20, 31, 40, 51], [36, 23], [4, 58], [37, 67], [48, 24, 12, 13, 22], [34], [76, 42, 63], [41, 46, 15], [52], [83], [50, 54], [60, 87, 62, 70, 77, 14, 29, 33, 59, 88, 80, 81, 82, 43]]
3: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2, 15, 28, 11, 14, 12, 13, 22], [26, 20, 16, 17, 18, 19, 23, 21], [48, 27, 24, 29, 25, 58, 60, 30, 36, 57, 54, 41, 34, 39, 37, 49, 33], [40, 46, 42, 44, 45, 55, 63, 43, 47, 51, 52, 53, 50, 62, 59, 61, 80, 56, 31, 64, 65], [66], [68, 73, 70, 75, 69, 67, 74, 76, 78, 72, 85, 79, 77, 71, 86, 84, 81, 83, 82, 87, 88, 10]]
4: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 18, 79, 14, 2, 10, 11, 15, 25], [24, 12, 19, 16, 23, 21, 13, 22, 55], [17, 20, 28], [26, 58, 44, 27, 29, 30, 31, 45, 62, 34, 37, 33, 36, 63], [42], [39, 43, 46, 40, 59, 47, 41, 48, 53, 49, 50, 61, 51, 57, 60, 54, 52, 56, 64, 65, 86, 71, 68, 74, 69, 72, 77, 70, 76, 75, 83, 80, 66, 82, 84, 67, 73, 87, 78, 81, 85, 88]]
5: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 24, 29, 14, 18, 6, 28, 27, 13, 10, 12, 21, 50, 16, 17, 22, 23, 15, 25, 26, 49, 55, 19, 11, 31, 51, 56, 20, 36], [62, 40, 30, 37, 42, 58, 47, 41, 33, 60, 34, 39, 46, 43, 44, 45, 48, 59, 52, 53, 61, 54, 57, 63, 64, 80, 66, 72, 78, 67, 68, 75, 76, 69, 73, 70, 79, 71, 74, 77, 83, 81, 82, 84, 86, 85, 87, 88]]
6: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 18], [2, 28, 26, 14, 11, 12, 15], [19], [21, 23, 13, 16, 24, 17, 29, 20, 52, 61, 31, 22, 58, 25, 27, 30, 43, 50, 59], [33, 48, 34], [37, 40, 10, 45, 62, 36, 39, 41, 44, 42, 51, 46, 47, 56, 55, 49, 53, 54, 57, 60, 63, 65, 70, 64, 67, 66, 68, 72, 69, 75, 76, 71, 79, 74, 73, 78, 77, 86, 82, 81, 80, 85, 83, 84, 87, 88]]
7: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 24], [29, 26, 6, 10, 27, 13, 19, 12, 11, 15, 14], [17, 16, 21, 18, 23, 61, 28], [20, 54, 60, 63, 33, 25, 44, 59, 34, 53, 36, 39, 46, 41, 58, 37, 30, 31, 40, 51, 55, 42, 52, 48, 43, 45, 47, 49, 50, 62, 57, 79, 22, 56, 64, 66, 75, 71, 72, 73, 70, 77, 74, 76, 69, 67, 68, 78, 80, 82, 81, 84, 86, 87, 83, 85, 88]]
8: [[38, 5, 7], [8, 9, 35], [32, 3, 4], [1, 70, 2, 14, 6, 11, 13, 15, 12, 23, 28, 22, 10], [16, 18, 26, 48, 17, 20, 25, 19, 21, 24, 27, 58, 29, 53, 56, 31, 61, 42], [54, 33, 36, 37, 47, 30, 41, 43, 39, 44, 34, 51, 49, 40, 52, 45, 50, 46, 60, 55, 57, 59, 62, 63, 66, 64, 67, 71, 72, 65, 69, 68, 76, 75, 78, 74, 73, 77, 79, 83, 80, 82, 84, 81], [86, 85, 87, 88]]
9: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 14, 30, 6, 11, 21, 13, 10, 20, 31, 29, 15, 22, 12, 18, 16, 17, 23], [24, 27, 19, 59, 57, 25, 28], [40, 42, 44, 60, 41, 26, 33, 37, 58, 34, 43, 39, 45, 36], [47, 46, 48, 49, 50, 55, 52, 56, 51, 62, 54, 61, 53, 77, 66, 63, 83, 67, 71, 68, 64, 70, 73, 72, 79, 75, 74, 69, 78, 76, 80, 82, 85, 87, 81, 84, 86, 88]]
10: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 6, 2, 1, 10, 28, 27, 14, 13, 29, 11, 18, 17, 12, 55, 20], [15, 25, 19, 21], [16, 23, 49, 30, 62, 58, 57, 40, 22, 59, 43], [45, 36, 26, 31, 41, 33, 60, 46, 47], [34, 44, 37, 53, 51, 50, 48, 39, 42, 52, 54, 56, 61, 63, 64, 71, 66], [69, 67, 70, 74, 73, 68, 75, 81, 77, 76, 79, 78, 72, 80, 85, 87, 83, 82, 86, 84, 88, 24]]
