0: [[3, 1], [13, 4], [2, 5, 10, 7, 8], [12, 11, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
1: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 12, 11, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
2: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 11, 12, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
3: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 12, 11, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
4: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 12, 11, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
5: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 12, 11, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
6: [[3, 1], [13, 4, 2], [5, 10, 7, 8], [9, 12, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
7: [[3, 1], [13, 4], [2, 5], [10, 7, 8], [9, 12, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
8: [[3, 1], [13, 4, 2, 5], [10, 7, 8, 9], [12, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
9: [[3, 1], [13, 4], [2, 5, 10, 7, 8], [11, 12, 9], [14, 19, 16, 6, 15], [17, 18, 20]]
10: [[3, 1], [13, 4, 2], [5, 10, 7], [8, 9, 12, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
11: [[3, 1], [13, 2, 4], [5, 10, 7], [8, 9], [12, 11], [14, 16, 6, 15], [19, 17, 18, 20]]
12: [[3, 1, 13], [4, 2], [5, 10, 7, 8], [9, 12, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
13: [[3, 1, 13, 4], [2, 5, 10, 7, 8], [11, 6, 9], [14, 16, 12, 15], [19, 17, 18, 20]]
14: [[3, 1, 13, 4], [2, 5, 10, 7, 8], [11, 6, 9], [14, 16, 12, 15], [19, 17, 18, 20]]
15: [[3, 1], [13, 2, 5, 4], [10, 7, 8], [11, 9], [14, 16, 6], [12, 19, 17, 15], [18, 20]]
16: [[3, 1], [13, 2, 4], [5, 10, 7, 8], [11, 12, 9, 6], [14, 15, 18, 19, 17, 16, 20]]
17: [[3, 1], [13, 4], [2, 5], [10, 7, 8, 9], [12, 11], [14, 16, 19, 17, 18, 20, 6, 15]]
18: [[3, 1], [13], [5], [10, 7, 8, 2], [12, 11, 9, 6], [14, 15, 4], [16, 19, 17, 18, 20]]
19: [[3, 1, 13, 4], [2, 5, 10, 7], [8, 12, 11, 14, 9, 6], [15, 16, 19, 17, 18, 20]]
20: [[3, 1, 13, 4], [5, 10, 7, 2], [8, 12, 11, 9], [14, 15, 16, 19, 17, 18, 20, 6]]
21: [[3, 1], [13, 2, 4], [5, 10, 7, 8], [12, 11, 14], [16, 19, 9, 6, 15], [17, 18, 20]]
22: [[3, 1, 13, 4], [2, 5, 10, 7], [8, 12, 11, 9], [6, 14, 16, 19, 17, 15], [18, 20]]
23: [[3, 1], [13, 4], [2, 5, 10], [7, 8, 9], [12, 11], [6, 14, 15, 18], [17, 16, 19, 20]]
24: [[3, 1], [13, 4], [2, 5, 10, 7], [8, 12, 9], [11, 14, 6], [16, 19, 17, 18, 15], [20]]
25: [[3, 1, 13, 4], [2, 5, 10, 7], [8, 9], [12, 6, 14, 11, 15], [16, 19, 17, 18, 20]]
26: [[3, 1], [13, 4], [2, 5], [10, 7, 8, 9], [14, 11, 15, 12, 19, 16, 17, 18, 20, 6]]
27: [[3, 1], [13, 2, 4], [10], [5, 11, 9], [7, 12], [14, 8, 16, 6, 15], [17, 18, 19, 20]]
28: [[3, 1, 13], [2, 4, 6], [5, 10, 7], [8, 9], [12, 11], [14, 19, 15], [16, 17, 18, 20]]
29: [[3, 1], [13, 2, 4], [5, 10, 7], [8, 9], [12, 6, 15], [11, 14], [18, 19, 17, 16, 20]]
30: [[3, 1, 13], [2, 4], [5, 10, 7, 8, 9], [12, 11, 14, 15, 17, 18, 16, 19, 20, 6]]
31: [[3, 1], [13, 2, 4], [5, 10], [7, 8, 9], [12, 11, 14, 6], [16, 19, 17, 15], [18, 20]]
32: [[3, 1, 13], [2, 4, 6], [5, 10], [7, 8, 9], [12, 11], [14], [16, 19, 17, 15], [18, 20]]
33: [[3, 1, 13, 4], [5, 11], [2, 12, 7, 8, 9], [14, 16, 6, 15], [18, 19, 17, 10, 20]]
34: [[3, 1, 13, 4], [2, 5, 6, 8], [11, 10, 7, 9], [14, 12, 19, 15], [17, 16, 18, 20]]
35: [[3, 1, 13], [4, 2], [5, 10], [7, 8, 9, 12], [11, 6, 14, 15], [16, 19, 17, 18, 20]]
36: [[3, 1], [13, 6], [5, 2, 10, 7], [8, 9], [11, 4], [14, 12, 19, 15], [16, 18, 17, 20]]
37: [[3, 1], [13, 4, 2, 5], [10, 7, 8, 9, 12, 11, 6, 14, 15, 16, 19, 17, 18, 20]]
38: [[3, 1], [13, 4, 2, 5], [10, 7, 8, 9, 12, 11, 6, 14, 15, 16, 19, 17, 18, 20]]
39: [[3, 1, 13, 5, 9, 4], [2, 11, 7, 8], [12, 6], [14, 16, 15], [10, 19, 18, 17, 20]]
40: [[3, 1, 13], [4, 5, 2, 14, 6, 8, 9, 12, 11, 7, 10, 15, 16, 19, 17], [18, 20]]
41: [[3, 1, 13, 2], [5, 11, 7, 9, 4], [8, 6], [10, 14, 12, 15], [16, 19, 17, 18, 20]]
