0: [[1, 3], [10, 7, 5, 2, 8], [13, 4], [11, 12, 9], [14, 16, 6, 15], [18, 19, 20, 17]]
1: [[1, 3], [10, 7, 5, 2, 8], [13, 4], [11, 12, 9], [14, 16, 6, 15], [18, 19, 20, 17]]
2: [[1, 3], [10, 7, 5, 2, 8], [13, 4], [11, 12], [14, 16, 9, 6, 15], [18, 19, 20, 17]]
3: [[1, 3], [10, 7, 5], [2, 8], [13, 11, 4], [12, 9], [14, 16, 6, 15], [18, 19, 20, 17]]
4: [[1, 3], [10, 7, 5, 2, 8], [13, 12], [11, 14, 16, 4, 6], [15, 19, 18, 20, 17, 9]]
5: [[1, 3], [10, 7, 5], [8, 2], [13, 4, 6], [14, 11, 12, 9], [15, 16, 18, 19, 20, 17]]
6: [[1, 3], [10, 7, 5, 2, 8], [13, 4], [14, 6], [11, 12, 20, 9], [18, 19, 16, 17, 15]]
7: [[1, 3], [10, 7, 5, 2], [8, 13], [14, 4, 6], [15, 11, 12, 9], [19, 18, 16, 20, 17]]
8: [[1, 3], [10, 7, 5], [2, 8], [13, 4], [6, 14], [9, 11, 15, 12, 18], [16, 19, 20, 17]]
9: [[1, 3], [10, 7], [5, 2, 8], [13, 4], [11, 12], [14, 16, 9, 6, 15], [18, 19], [20, 17]]
10: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [11, 14, 9, 6], [12, 15, 16, 18, 19, 20, 17]]
11: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [14, 12, 15, 11, 9, 6], [16, 18, 19, 20, 17]]
12: [[1, 3], [10, 7, 5], [2, 8], [13], [14, 4, 6], [11, 12, 16, 18, 17, 20, 19, 9, 15]]
13: [[1, 3], [10, 7, 5, 2, 8], [13, 4], [12], [14, 11, 16, 18, 9, 6, 15], [19, 20, 17]]
14: [[1, 3], [10, 7], [5, 8, 13, 2], [14, 9, 4, 6], [11, 12], [15, 16, 18, 19, 20, 17]]
15: [[1, 3], [10, 7, 5, 2], [8, 13], [14, 4, 6], [11, 12, 15, 19, 16, 9], [18, 20, 17]]
16: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [6, 14], [9, 11, 15], [12, 19, 16, 18, 20, 17]]
17: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [11, 12, 14, 9], [15, 19, 18, 17, 20, 16, 6]]
18: [[1, 3], [10, 7, 5], [2, 8], [13, 11, 4], [14, 9, 6, 15], [12], [19, 16, 18, 20, 17]]
19: [[1, 3], [10, 7], [5, 2, 8], [13, 11, 9], [12], [16, 14, 4, 6, 15], [19], [18, 20, 17]]
20: [[1, 3], [10, 7, 5], [2, 8], [13, 12, 9, 4, 6], [11, 14, 15, 18, 19, 16, 20, 17]]
21: [[1, 3], [10, 7], [5, 2], [8, 13, 14, 4], [11, 9], [12, 17, 18, 19], [20, 16, 6, 15]]
22: [[1, 3], [10, 7], [5, 2, 8], [13, 4], [14, 9, 6], [11, 12, 18, 15], [16, 19, 20, 17]]
23: [[1, 3], [10, 7, 5, 2, 8], [13, 4, 14, 6, 9, 11, 12, 15, 19, 18, 16, 20, 17]]
24: [[1, 3], [10, 7, 5, 2, 8], [13, 12, 6, 4, 9, 11, 14, 15, 16, 18, 19, 20, 17]]
25: [[1, 3], [10, 7, 5, 2, 8], [13, 12, 6, 4, 9, 11, 18, 15, 14, 19, 16, 20, 17]]
26: [[1, 3], [10, 7, 5, 2], [8, 13, 4], [14, 11, 9], [12, 18], [16, 19, 6, 15], [20, 17]]
27: [[1, 3], [10, 7], [5, 2], [8, 13], [12], [11, 9], [14, 18, 4, 15], [16, 6], [19, 20, 17]]
28: [[1, 3], [10, 7], [5, 2, 8], [13, 4], [14, 11, 9], [12], [16, 18, 6, 15], [19, 20, 17]]
29: [[1, 3], [10, 7], [5, 2, 8], [13, 4, 11], [12, 9], [14, 6, 15, 19, 16, 18, 20, 17]]
30: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [12, 9, 6], [11, 14], [18, 19, 16, 15], [20, 17]]
31: [[1, 3], [10, 7, 5, 2, 8, 13, 4, 6, 14, 9, 11, 12, 15], [19, 18, 16, 20, 17]]
32: [[1, 3], [10, 7, 5], [2, 8, 13], [11, 4], [14, 9, 6], [12, 18], [16, 19, 15], [20, 17]]
33: [[1, 3, 10, 6], [7, 5, 2, 8], [13, 4], [14, 11, 9], [12, 16, 15], [18, 19], [20, 17]]
34: [[1, 3, 10, 6], [7, 5, 2, 8], [13, 11, 9, 4], [12, 14, 15], [16], [18, 19], [20, 17]]
35: [[1, 3], [10, 7], [5, 2], [8, 13, 4], [12, 11, 15, 14, 16, 18, 19, 20, 17, 9, 6]]
36: [[1, 3], [10, 7, 5], [2, 8, 13, 4], [12, 6], [11, 14, 9], [18], [16, 19, 15], [20, 17]]
37: [[1, 3], [10, 7, 5, 2, 8, 13, 11, 12, 9, 6, 15, 14, 4], [16, 18, 19, 20], [17]]
38: [[1, 3], [10, 7], [5, 2, 8, 13], [12, 4, 15], [14, 9, 6], [11, 16], [18], [19, 20, 17]]
39: [[1, 3, 10], [7, 5], [2, 8, 13, 11, 4], [12, 16, 15, 14, 18, 19, 20, 17, 9, 6]]
40: [[1, 3, 10, 6], [7, 5], [2, 8, 13], [12, 4], [11, 14, 9], [18, 16, 19, 15], [20, 17]]
41: [[1, 3], [10, 7, 5, 2, 8, 13, 4, 14, 6, 11, 19, 12, 15, 9, 18, 16, 20], [17]]
