0: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
1: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
2: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
3: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
4: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
5: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
6: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
7: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
8: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
9: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
10: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
11: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
12: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
13: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
14: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
15: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
16: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
17: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
18: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
19: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
20: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
21: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
22: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
23: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
24: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
25: [[28, 5, 6, 20, 24, 25, 10], [19, 7, 23, 18, 17, 2, 1], [3, 4, 8, 22, 9, 13, 11, 12], [21, 16, 15, 27, 26, 29, 14]]
