0: [[10, 4], [5, 3, 1], [7, 8, 6, 9, 11, 12, 13, 2]]
1: [[10, 4], [5, 3], [1, 2, 7, 8, 6, 9, 11, 12, 13]]
2: [[10, 4], [5, 3], [1, 2], [7, 8, 6, 9, 11, 12, 13]]
3: [[10, 4], [5, 3], [1, 2], [7, 8, 6, 9, 11, 12, 13]]
4: [[10, 4], [5, 3, 1, 2], [7, 8, 6, 9, 11], [12, 13]]
5: [[10, 4], [5, 3], [1, 2, 7, 8, 6, 9, 11, 12, 13]]
6: [[10, 4], [5, 3], [1, 7, 8, 6, 9, 11, 12, 2], [13]]
7: [[10, 4], [5], [1, 3], [7], [8, 6, 9, 11], [12, 13, 2]]
8: [[10, 4], [5, 3, 1], [2, 7, 8], [6, 9, 11, 12, 13]]
9: [[10, 4], [5, 3, 1], [7, 8, 6, 2], [9, 11], [12, 13]]
10: [[10, 4], [5, 3, 1, 2], [7, 8], [6, 9, 11, 12, 13]]
11: [[10, 4], [5, 3], [1, 8, 6, 9], [11], [12, 13, 2, 7]]
12: [[10, 4], [5, 3], [1, 2], [7, 8], [6, 9, 11, 12], [13]]
13: [[10, 4], [5, 3], [1, 2, 7], [8, 6, 9, 11, 12], [13]]
14: [[10, 4], [5, 3], [1, 2], [7, 8], [6, 9, 11, 12, 13]]
15: [[10], [5, 1, 4, 3], [7], [8], [6, 9, 11], [12, 13, 2]]
16: [[10, 4], [5, 3], [1, 2], [7, 8], [6, 9, 11, 12, 13]]
17: [[10], [5, 3], [1, 7, 8, 6, 4], [9, 11], [12, 13, 2]]
18: [[10, 4], [5], [3, 1, 2, 7, 8, 6, 9, 11, 12, 13]]
19: [[10, 4], [5, 3], [1, 7, 8], [6, 9], [11], [12, 13, 2]]
20: [[10, 4], [5, 3, 1, 2, 7, 8, 6, 9, 11], [12, 13]]
21: [[10, 4, 5, 3], [1, 2, 7, 8, 6, 9, 11], [12, 13]]
22: [[10], [5], [1, 4, 3], [7, 8], [6, 9], [11], [12, 13, 2]]
23: [[10, 4, 5], [3, 1, 2], [7, 8], [6, 9, 11, 12], [13]]
24: [[10, 4], [5, 3, 1, 2, 7, 8, 6], [9, 11, 12, 13]]
25: [[10, 4], [5, 3], [1, 2, 7, 8], [6, 9], [11, 12, 13]]
26: [[10, 4], [5, 3, 1, 2, 7, 8, 6], [9, 11, 12, 13]]
27: [[10, 4], [5, 3], [1, 2, 7], [8, 6, 9], [11, 12, 13]]
