0: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26], [27, 29, 32, 28], [56, 37, 41, 60], [42, 35, 33], [34, 44, 39, 40], [36, 46, 45, 43], [61, 59, 51, 48], [53, 47, 52], [50, 49, 55, 54], [57, 58, 63, 62], [86, 64, 66], [71, 69, 65, 68], [70, 72, 75, 74, 76], [73, 77], [79, 78, 82], [81, 80, 83, 87, 84, 85, 88]]
1: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14, 21], [17, 13], [18, 24, 16, 23], [25, 19, 20, 26], [27, 29, 32, 28], [56, 37, 41, 60], [42, 35, 33, 34], [44, 36, 39, 40], [47, 63, 43, 46], [59, 51], [52, 61, 48, 55], [45, 49, 50, 53], [54, 57, 58, 62], [86, 64, 66, 71], [69, 65, 68, 70], [72, 75, 74, 76], [73, 77], [79, 78, 82, 81], [80, 83, 87], [84, 85, 88]]
2: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26, 27], [29, 32, 28, 56], [37, 41, 60, 42], [35, 33, 34], [44, 36, 47, 39], [43, 45, 46], [62, 59, 51, 53], [50, 52, 40], [54, 49, 48, 61], [55, 57, 58], [63, 86, 64, 66], [71, 69, 65], [68, 70], [72, 75, 74, 76], [73, 77], [79, 78, 82, 81], [80, 83, 87, 84], [85, 88]]
3: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26], [27, 29, 32, 28], [56, 37, 41, 60, 42], [35, 33], [34, 44, 36, 39], [40, 46, 57, 47], [43, 49, 52, 48], [45, 54, 50], [51, 53, 55, 59, 61, 63, 58, 62], [86, 64, 66, 71, 69, 65, 68, 70, 72, 75, 74, 76, 73], [77, 79, 78, 82, 81, 80, 83, 87, 84, 85, 88]]
4: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26, 27], [29, 32, 28], [56, 37, 41, 60], [42, 35, 33, 34], [44, 36, 39], [40, 47], [45], [43, 62, 46, 54, 55], [61, 49, 48, 50, 53, 51, 52, 59, 57, 58, 63, 86, 64, 66, 71, 69, 65, 68, 70, 72, 75, 74, 76, 73, 77, 79, 78, 82, 81, 80, 83, 87, 84, 85, 88]]
5: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13], [18, 24, 16, 23], [25, 19, 20], [26, 27, 29, 32], [28, 56, 37], [41, 60, 42, 35], [33, 34, 44, 39], [36, 40, 47], [43, 45, 59, 51], [53, 46, 49, 54, 48], [61, 52, 50, 57], [55, 62, 58, 63], [86, 64, 66], [71, 69, 65, 68], [70, 72, 75, 74], [76, 73, 77], [79, 78, 82, 81], [80, 83, 87, 84, 85, 88]]
6: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13], [18, 24, 16, 23], [25, 19, 20], [26, 27, 29, 32], [28, 56, 37], [41, 60, 42, 35], [33, 34, 44, 39], [36, 40, 47], [43, 45, 59, 51], [53, 46, 49, 54, 48], [61, 52, 50, 57], [55, 62, 58, 63], [86, 64, 66], [71, 69, 65, 68], [70, 72, 75, 74], [76, 73, 77], [79, 78, 82, 81], [80, 83, 87, 84, 85, 88]]
7: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26], [27, 29, 32, 28], [56, 37, 41, 60], [42, 35, 33], [34, 44, 39, 43], [36, 47, 45, 40], [61, 59, 46, 52], [49, 57, 54], [48, 53, 55, 50], [51, 62, 58, 63], [86, 64, 66, 71], [69, 65, 68], [70, 72, 75, 74, 76, 73, 77, 79, 78, 82, 81, 80, 83, 87, 84, 85, 88]]
8: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26, 27], [29, 32, 28, 56], [37, 41, 60], [42, 35, 33, 34], [44, 36, 39, 40], [45, 61, 43, 59], [46, 55, 47, 48], [51, 50, 52], [49, 53, 54, 63], [57, 58, 62], [86, 64, 66, 71, 69], [65, 68, 70, 72, 75, 74, 76, 73], [77, 79, 78, 82], [81, 80, 83, 87, 84, 85, 88]]
9: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26, 27], [29, 32, 28, 56, 37], [41, 60, 42], [35], [33, 34, 44], [39, 45, 36, 47, 40, 43, 59, 46, 52, 48, 49, 50, 55, 54], [62, 51, 53, 58, 57, 63, 61, 86, 64, 66, 71, 69, 65, 68, 70, 72, 75, 74, 76, 73, 77], [79, 78, 82, 81], [80, 83, 87, 84, 85, 88]]
10: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8, 11], [15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26, 27], [29, 32, 28], [56, 37, 41, 60], [42, 35, 33, 34], [44, 36, 39], [40, 47], [61], [45, 62, 43, 46, 53], [54, 48, 49, 55], [50, 51, 52, 58], [59, 57, 63, 86, 64, 66, 71, 69, 65], [68, 70, 72, 75, 74, 76, 73, 77, 79, 78, 82, 81, 80, 83, 87, 84, 85, 88]]
11: [[38, 7, 67, 5], [3, 10, 9, 4], [1, 2, 22, 12], [30, 6, 8], [11, 15, 31, 14], [21, 17, 13, 18], [24, 16, 23, 25], [19, 20, 26], [27, 29, 32, 28], [56, 37, 41, 60], [42, 35, 33], [34, 44, 36, 39], [40, 47], [45, 46, 43, 59, 53, 48, 49, 51, 54, 50, 55, 52, 57, 63, 58, 61, 62, 86, 64, 66, 71, 69, 65, 68, 70, 72, 75, 74, 76, 73, 77, 79, 78, 82, 81, 80, 83, 87, 84, 85, 88]]
