0: [[49], [52, 5, 33, 34], [60, 3, 30, 51], [8, 23, 4, 18], [58, 43, 13, 9, 21], [15, 40, 6, 10], [20, 22, 19, 31, 47], [27, 28, 32, 11, 17, 25], [35, 29, 46, 2], [36, 1, 37, 50], [12, 39, 57, 41, 24, 45], [16, 42, 7, 54], [38, 48, 44], [53, 55], [14, 56, 59, 26]]
1: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 8, 24, 12, 10, 11, 31, 28, 17, 23, 26, 30, 21, 18, 9, 16, 15], [19, 22, 25, 29, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
2: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 8, 24, 12, 10, 11, 31, 28, 17, 23, 26, 30, 21, 18, 9, 16, 15], [19, 22, 25, 29, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
3: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 8, 24, 12, 10, 11, 31, 28, 17, 23, 26, 30, 21, 18, 9, 16, 15], [19, 22, 25, 29, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
4: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 8, 26, 12, 11, 15, 9, 10, 28, 21, 16, 18, 13, 23, 19, 30, 24, 17], [22, 25, 29, 31, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
5: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 24, 11, 15, 26, 16, 21, 17, 30, 12, 18, 23, 19, 31], [29, 22, 25, 28, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [46, 47, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
6: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 24, 11, 15, 26, 16, 21, 17, 30, 12, 18, 23, 19, 31], [29, 22, 25, 28, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [46, 47, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
7: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 24, 11, 15, 21, 16, 17, 12, 30, 23, 18, 19, 26, 31], [29, 22, 25, 28, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
8: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 12, 11, 15, 26, 16, 21, 19, 30, 17, 18, 23, 24, 31], [29, 22, 25, 28, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [46, 47, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
9: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 24, 8, 9, 11, 31, 26, 16, 23, 15, 30, 12, 18, 19, 17, 21], [25, 22, 28, 29, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
10: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 12, 10, 8, 24, 28, 9, 31, 21, 11, 13, 18, 22, 15, 16, 17, 23, 19], [30, 26, 25, 29, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [46, 47, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
11: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 11, 15, 12, 17, 19, 18, 16, 21, 31, 22, 23, 28, 24], [26, 30, 25, 29, 36, 32, 37, 34, 38, 33, 40, 39, 43, 45, 42, 41, 44], [46, 47, 49, 51, 48, 55, 57, 50, 54, 53, 52, 59, 60, 56, 58]]
12: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [13, 12, 11, 9, 15, 17, 8, 16, 22, 28, 24, 18, 23, 19, 30, 10, 21, 6], [25, 29, 31, 26, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [47, 46, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
13: [[27, 2, 35, 7, 1, 3, 4, 5, 20, 14], [6, 13, 10, 8, 9, 11, 12, 15, 17, 16, 21, 19, 30, 22, 18, 23, 24, 28], [29, 26, 25, 31, 36, 40, 37, 34, 32, 33, 38, 39, 43, 45, 42, 41, 44], [46, 47, 57, 51, 48, 55, 49, 50, 54, 53, 52, 59, 60, 56, 58]]
