0: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
1: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
2: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
3: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
4: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
5: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
6: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
7: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
8: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
9: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
10: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
11: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
12: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
13: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
14: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
15: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
16: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
17: [[42, 38, 5, 20, 7, 57], [75, 31, 19, 27, 72, 88, 50], [77, 23, 60, 16, 62, 14, 41], [26, 2, 83, 74, 36, 78, 58], [39, 84, 6, 9, 15, 3, 10], [43, 11, 25, 4, 29, 13, 28], [24, 1, 40, 8, 44, 45, 59], [18, 22, 71, 70, 12, 34, 76], [30, 32, 33, 53, 46, 52], [17, 69, 67, 48, 21, 64, 65], [49, 68, 56, 87, 63, 61, 47], [66, 55, 35, 85, 80, 51], [37, 54, 86, 79, 82, 73, 81]]
