0: [[7, 35, 11, 3, 2], [1, 13, 5, 21, 6], [8], [4, 9, 14, 12, 19, 15, 22, 29, 16, 17, 23, 18, 10], [20, 31, 28, 27, 24, 25, 26, 30, 33], [56, 37, 38, 32, 44, 36], [43, 39, 40, 45, 34, 42], [41, 47, 53, 48, 50, 51, 55, 46, 52], [49, 57], [59, 54, 58, 60]]
1: [[7, 35, 11, 3, 2], [1, 13, 5, 21, 6], [8], [4, 9, 14, 12, 19, 15], [22, 29, 16, 17, 23, 18, 10], [20, 31], [28, 27, 24, 25, 26, 30], [33, 56, 37, 38, 32, 44], [36, 43, 39, 40, 45, 34, 42], [41, 47, 53, 48, 50, 51, 55, 46, 52], [49, 57], [59, 54, 58, 60]]
2: [[7, 35, 11, 3, 2], [1], [13, 4, 21, 6], [5, 12, 9, 8, 19, 14, 15, 22, 26, 25, 23, 18, 10], [16, 20, 17, 27, 31, 24, 29, 28, 30, 32, 56, 37, 42, 33, 40, 39], [34, 47, 36, 43, 38, 41, 45, 44, 52, 46, 51, 54, 50, 55], [49, 59, 53, 58, 57, 48, 60]]
3: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 4, 8, 9, 10, 12, 15, 22, 17, 16], [19, 26, 23, 30, 20], [27, 18, 24, 31, 28, 25], [29, 36, 56, 33, 39], [32, 37, 38, 46, 40, 45, 44, 42, 59, 43, 34, 48, 50, 54, 51, 41, 47], [53, 60, 52, 55, 57, 49], [58]]
4: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 4, 8, 9, 10, 12, 15, 22, 17, 16], [19, 26, 23, 30, 20], [27, 18, 24, 31, 28, 25], [29, 36, 56, 33, 39], [32, 37, 38, 46, 40, 45, 44, 42, 59, 43, 34, 48, 50, 54, 51, 41, 47], [53, 60, 52, 55, 57, 49], [58]]
5: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [14, 4, 8, 9, 10, 12, 15, 22, 17, 16], [19, 26, 23, 30, 20], [27, 18, 24, 31, 28, 25], [29, 36, 56, 33, 39], [32, 37, 38, 46, 40, 45, 44, 42, 59, 43, 34, 48, 50, 54, 51, 41, 47], [53, 60, 52, 55, 57, 49], [58]]
6: [[7, 35, 11, 3, 2, 1], [13, 21], [5], [6, 8, 4, 12, 9, 24, 14, 10, 31, 20, 27, 15, 26, 16, 23], [17, 25, 18, 19, 22, 28, 29, 30, 37, 54, 36, 41, 42, 32, 33, 34, 39, 44, 45, 38, 56, 46, 40, 43, 53, 48, 47, 50, 51, 52, 55], [49, 57, 58, 60, 59]]
7: [[7, 35, 11, 3, 2, 1], [13, 21, 4], [5, 6, 12, 8, 9, 15, 10], [14, 17, 16, 31, 19, 22, 18, 20, 25, 27, 23, 28, 26, 24, 29, 30, 32, 48, 37, 36, 33, 34, 38, 46, 39, 47, 40, 41, 59, 44, 45, 53, 43, 42, 51, 50, 54, 52, 56], [49, 55, 57, 60, 58]]
8: [[7, 35, 11, 3, 2], [1, 13, 21, 6, 4, 5, 14, 8, 10, 25, 9, 30, 15, 12, 29, 16], [27, 18, 17, 19, 20, 22, 23, 26, 24, 28, 31], [32, 40, 36, 44, 39, 33, 34, 37, 43, 47, 38, 41, 56], [45, 46, 53], [58, 42, 52, 48, 55, 51, 54], [49, 50, 57, 60, 59]]
9: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 12, 14, 9, 8, 6, 10, 19, 17, 16, 28, 15, 24, 20, 27, 18, 22, 31, 23, 25, 26, 29, 30, 32, 42, 38, 36, 33, 34, 39, 40, 46, 37, 41, 44, 59, 45, 43, 52, 56, 50, 58, 51, 48, 47, 53], [60, 55, 54, 49, 57]]
10: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 6, 14], [12, 9, 5, 24, 8, 10, 15, 23, 16, 22, 25, 30], [26, 20, 18, 19, 31, 17, 27, 28, 29, 33, 43, 36, 38, 34, 37, 39, 45, 32, 40, 42, 47, 44], [41, 46, 54, 48, 55, 50, 51, 53], [52, 49, 59, 60, 57, 56, 58]]
