0: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 13, 12, 9], [19, 16, 17, 18, 20]]
1: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [9, 11, 13, 12], [19, 16, 17, 18, 20]]
2: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
3: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 9, 13, 12], [19, 16, 17, 18, 20]]
4: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [9, 12, 11, 13], [19, 16, 17, 18, 20]]
5: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [9, 12, 13, 11], [19, 16, 17, 18, 20]]
6: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 9, 13, 12], [19, 16, 17, 18, 20]]
7: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 13, 12, 9], [19, 16, 17, 18, 20]]
8: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
9: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
10: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6, 4], [13, 12, 9, 11], [19, 16, 17, 18, 20]]
11: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 9, 12, 13], [19, 16, 17, 18, 20]]
12: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 9, 13, 12], [19, 16, 17, 18, 20]]
13: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
14: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
15: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
16: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [13, 12, 9, 11], [19, 16, 17, 18, 20]]
17: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 9, 13, 12], [19, 16, 17, 18, 20]]
18: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 13, 12, 9], [19, 16, 17, 18, 20]]
19: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 6, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20]]
20: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6], [12, 9, 13, 4, 11], [19, 16, 17, 18, 20]]
21: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6], [12, 13, 4, 11, 9], [19, 16, 17, 18, 20]]
22: [[7, 2, 5, 1, 8, 10], [3, 14, 15, 6], [12, 13, 11, 4, 9], [19, 16, 17, 18, 20]]
23: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [4, 11, 13, 12, 9], [19, 16, 17, 18, 20]]
24: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [11, 13, 12, 4, 9], [19, 16, 17, 18, 20]]
25: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [12, 13, 11, 4, 9], [19, 16, 17, 18, 20]]
26: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [11, 13, 12, 4, 9], [19, 16, 17, 18, 20]]
27: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [4, 11, 9, 12, 13], [19, 16, 17, 18, 20]]
28: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [4, 11, 12, 13, 9], [19, 16, 17, 18, 20]]
29: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [11, 13, 12, 4, 9], [19, 16, 17, 18, 20]]
30: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [13, 12, 11, 4, 9], [19, 16, 17, 18, 20]]
31: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [4, 11, 9, 12, 13], [19, 16, 17, 18, 20]]
32: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [4, 9, 11, 13, 12], [19, 16, 17, 18, 20]]
33: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 6], [11, 12, 13, 4, 9], [19, 16, 17, 18, 20]]
34: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [6, 4, 11, 13, 9, 12], [19, 16, 17, 18, 20]]
35: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [4, 6, 11, 12, 9, 13], [19, 16, 17, 18, 20]]
36: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [6, 4, 11, 13, 12, 9], [19, 16, 17, 18, 20]]
37: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [6, 4, 13, 12, 9, 11], [19, 16, 17, 18, 20]]
38: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [6, 4, 13, 12, 11, 9], [19, 16, 17, 18, 20]]
39: [[7, 2, 5, 1], [8, 10, 3, 14, 15], [6, 4, 9, 11, 13, 12], [19, 16, 17, 18, 20]]
40: [[7, 2, 5, 1, 8], [10, 3, 14, 15, 12, 6], [13, 11, 4, 9], [19, 16, 17, 18, 20]]
41: [[7, 2, 5, 1], [8, 10, 3, 14, 15, 12], [6, 4, 13, 11, 9], [19, 16, 17, 18, 20]]
