0: [[5, 14, 6, 2, 4], [1, 3, 11], [7, 8, 10, 9], [13, 12, 15], [16, 18, 19, 17, 20]]
1: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
2: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
3: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
4: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
5: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
6: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
7: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
8: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
9: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
10: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
11: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
12: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
13: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
14: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
15: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
16: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
17: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
18: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
19: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
20: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
21: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
22: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
23: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
24: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
25: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
26: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
27: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
28: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
29: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
30: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
31: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
32: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
33: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
34: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
35: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
36: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
37: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
38: [[5, 14, 6, 2, 4, 1, 7], [11, 3, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
39: [[5, 14, 6, 2, 4, 1, 3], [11, 7, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
40: [[5, 14, 6, 2, 4, 1, 3], [11, 7, 8, 10, 9, 13, 12], [15, 16, 18, 19, 17, 20]]
41: [[5, 14, 6], [2, 4, 1, 7, 11], [3, 8, 10, 9], [13, 12, 15], [16, 18, 19, 17, 20]]
