0: [[1, 3, 8], [2, 10, 5, 7], [14, 4], [11, 13, 12, 9], [16, 6, 15], [17, 18, 20, 19]]
1: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 6], [11, 12, 13, 16, 9, 15], [19, 17, 20, 18]]
2: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 6], [11, 12, 13, 16, 9, 15], [19, 17, 20, 18]]
3: [[1, 3, 8], [2, 10, 5], [7, 14, 4, 6], [13, 11, 12, 9], [15, 16, 17, 18, 20, 19]]
4: [[1, 3, 8], [2, 10, 5, 7], [14, 4], [13, 11, 12, 9], [15, 16, 19, 17, 18, 20, 6]]
5: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [12, 11, 13, 9], [16, 6, 15], [19, 17, 18, 20]]
6: [[1, 3, 8], [2, 10, 5], [7, 14, 4], [12, 11, 13, 9], [16, 6], [19, 17, 18, 20, 15]]
7: [[1, 3, 8], [2, 10, 5, 7], [14, 13, 4, 6], [15, 11, 12, 9], [16, 17, 19, 20, 18]]
8: [[1, 3, 8], [2, 10, 5, 7], [14, 4], [11, 12, 9, 6], [13, 16, 15], [17, 18, 19, 20]]
9: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 11], [13, 12], [9, 6], [15, 16, 17, 18, 20, 19]]
10: [[1, 3], [8, 2, 10, 5], [7, 14, 6], [11, 12, 9], [13, 16, 17, 4, 15], [19, 18, 20]]
11: [[1, 3, 8], [2, 10, 5], [7, 14, 6], [11, 4], [12, 13, 9], [16, 15], [17, 19, 18, 20]]
12: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 6], [11, 12, 15, 9], [13, 16, 17, 19, 18, 20]]
13: [[1, 3, 8], [2, 10, 5], [7, 14, 6], [13, 11, 12, 4], [16, 9, 15], [17, 19, 18, 20]]
14: [[1, 3, 8], [2, 10], [5, 7, 14], [13, 4], [11, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
15: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 6], [11, 13, 15, 9], [12, 16, 17, 19, 18, 20]]
16: [[1, 3, 8], [2, 10], [5, 7], [14, 4], [11, 12, 15], [13, 16, 9, 6], [17, 19, 18, 20]]
17: [[1, 3, 8], [2, 10, 5], [7, 14, 4, 6], [11, 12, 9, 15], [13, 16], [17, 19, 18, 20]]
18: [[1, 3, 8], [2, 10, 5], [7, 14, 4, 6], [11, 12, 9, 15], [13, 16], [17, 19, 18, 20]]
19: [[1, 3, 8], [2, 10, 5, 7], [14, 12, 4, 6], [13, 11, 9], [16, 17, 19, 15], [20, 18]]
20: [[1, 3, 8], [2, 10, 5, 7], [14, 4], [13, 12, 9], [11, 16, 17, 19, 6, 15], [20, 18]]
21: [[1, 3, 8], [2, 10, 5, 7], [14, 4], [11, 12, 9, 6], [13, 16, 19, 15], [17, 20, 18]]
22: [[1, 3, 8, 2], [10, 5], [7, 14, 13, 9, 4, 6], [11, 12], [16, 17, 15], [19, 18, 20]]
23: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [11, 12, 15, 13, 16, 9, 6], [17, 19, 18, 20]]
24: [[1, 3, 8], [2, 10, 5, 7], [14, 11, 4, 6], [12, 15, 13, 16, 17, 19, 18, 20, 9]]
25: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [12, 13, 9, 15], [11, 16, 6], [17, 19, 18, 20]]
26: [[1, 3, 8], [10, 5, 7, 2], [14, 4], [13, 11, 15, 9, 12, 16, 19, 17, 6], [18, 20]]
27: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [13, 11, 12], [16, 9, 6, 15], [19, 17], [18, 20]]
28: [[1, 3, 8], [2, 10], [5, 7, 14, 6], [11, 13, 9, 4], [12, 16, 15], [17, 19, 18, 20]]
29: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [12, 11, 15], [13, 16, 9, 6], [19, 17, 18, 20]]
30: [[1, 3, 8], [2, 10], [5, 7, 14, 4], [13, 12, 15], [11, 16, 9, 6], [17, 18, 20, 19]]
31: [[1, 3, 8], [2, 10, 5, 7], [14, 4, 13, 11, 12, 9, 15, 6, 16, 17, 19, 18, 20]]
32: [[1, 3, 8], [2, 10, 5], [7, 14, 6], [11, 4], [12, 9, 15], [13, 16], [17, 19, 18, 20]]
33: [[1, 3, 8], [2, 10], [5, 7, 14], [13, 4], [11, 12, 9], [16, 17, 19, 6, 15], [18, 20]]
34: [[1, 3, 8], [2, 10, 5], [7, 14, 6], [11, 4, 15], [12, 9], [13, 16], [17, 19, 18, 20]]
35: [[1, 3, 8], [2, 10, 6], [5, 7], [14, 11, 4], [12], [13, 16, 17, 9, 15], [19, 18, 20]]
36: [[1, 3, 8, 2], [10, 5], [7, 14, 6], [11, 4], [12, 9, 15], [13, 16], [17, 19, 18, 20]]
37: [[1, 3, 8], [2, 10, 5, 7, 14, 4, 13, 11, 12, 9, 15, 6, 16, 17], [19, 18, 20]]
38: [[1, 3, 8, 2, 10, 5, 7], [14, 4, 6, 11], [12, 9, 13, 15, 16, 17, 19, 18, 20]]
39: [[1, 3, 8, 2], [10, 5, 7, 14, 4, 6, 11, 12, 9], [15, 13, 16, 17, 19, 18, 20]]
40: [[1, 3, 8], [2, 10], [5, 7, 14], [11, 12, 9, 4], [13, 15, 16, 17, 19, 18, 20, 6]]
41: [[1, 3], [8, 2, 10, 5, 7, 14, 4, 13, 11, 12, 9, 15, 6, 16, 17, 19], [18, 20]]
