0: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
1: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
2: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
3: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
4: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
5: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
6: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
7: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
8: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
9: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
10: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
11: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
12: [[3, 1], [7, 2, 8, 5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
13: [[3, 1, 7, 2, 8, 5, 10], [12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
14: [[3, 1], [7, 2, 8, 5, 10, 12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
15: [[3, 1], [7, 2, 8, 5, 10, 12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
16: [[3, 1], [7, 2, 8, 5, 10, 12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
17: [[3, 1], [7, 2, 8, 5, 10, 12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
18: [[3, 1], [7, 2, 8, 5, 10, 12, 11], [14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
19: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
20: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
21: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
22: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
23: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
24: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
25: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
26: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
27: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
28: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
29: [[3, 1, 7, 2, 8], [5, 10], [12, 11, 14, 13, 16, 6, 9], [15, 17, 20, 19, 18, 4]]
30: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [6, 9], [15, 17, 20, 19, 18, 4]]
31: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [6, 9], [15, 17, 20, 19, 18, 4]]
32: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [6, 9], [15, 17, 20, 19, 18, 4]]
33: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [6, 9], [15, 17, 20, 19, 18, 4]]
34: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [6, 9], [15, 17, 20, 19, 18, 4]]
35: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
36: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
37: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
38: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
39: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
40: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
41: [[3, 1, 7, 2, 8, 5, 10], [12, 11, 14, 13, 16], [15, 17, 20, 19, 18, 6, 9], [4]]
