0: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
1: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
2: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
3: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
4: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
5: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
6: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
7: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
8: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
9: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
10: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
11: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
12: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 17, 14], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
13: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
14: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
15: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
16: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
17: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
18: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
19: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
20: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
21: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
22: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
23: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
24: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
25: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
26: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
27: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
28: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
29: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
30: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
31: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
32: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
33: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
34: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
35: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
36: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
37: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
38: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
39: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
40: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
41: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
42: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
43: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
44: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
45: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
46: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
47: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
48: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
49: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
50: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
51: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
52: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
53: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
54: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
55: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
56: [[5, 18, 6], [19, 2, 1, 13, 9, 7], [11, 3, 4, 8, 10, 12], [15, 21, 16, 14, 17], [23, 20, 25, 29, 22], [24, 28, 27, 26]]
