0: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
1: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
2: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
3: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
4: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
5: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
6: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
7: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
8: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
9: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
10: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
11: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
12: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
13: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
14: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
15: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
16: [[57, 51, 6, 56, 30, 3], [70, 33, 25, 83, 45, 65], [47, 77, 15, 41, 86, 60], [50, 71, 75, 4, 19, 79], [8, 1, 66, 20, 46, 44], [5, 82, 38, 63, 42, 54], [53, 22, 12, 68, 2, 29], [39, 31, 11, 9, 10], [14, 17, 23, 13, 28, 16], [52, 18, 7, 37, 26], [32, 78, 24, 35, 55, 59], [73, 27, 21, 69, 64, 34], [36, 43, 62, 40, 76, 49], [61, 81, 74, 80, 67, 48], [72, 58, 84, 87, 88, 85]]
