0: [[50, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3], [11, 5, 8, 9, 10, 18], [6, 15, 24, 13, 16, 23, 17, 21, 25], [22, 26, 28, 30], [29, 60, 34, 37, 46, 36], [38, 43, 45, 58, 31, 39, 47, 51], [48, 54, 52, 41, 42, 56, 44], [57, 49, 59, 55, 53]]
1: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 13, 17, 9, 6, 22, 30, 18, 15, 16, 23, 21, 25, 28], [24, 31, 29, 38, 34, 39, 36, 37, 41, 44, 43, 42, 46, 45], [47, 50, 48, 52, 53, 58, 49, 54, 60, 59, 57, 56, 51, 55]]
2: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 17, 6, 10, 15, 9, 13, 16, 18, 21, 22, 28, 30, 23, 25], [24, 29, 31, 39, 34, 38, 36, 37, 44, 43, 42, 45, 46, 41], [47, 51, 48, 49, 50, 52, 54, 53, 60, 58, 56, 57, 55, 59]]
3: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 9, 6, 22, 15, 13, 17, 16, 21, 18, 28, 23], [29, 25, 24, 30, 31, 39, 34, 46, 36, 37, 38, 43, 41, 45, 42, 44], [47, 50, 49, 48, 53, 51, 52, 57, 54, 58, 59, 56, 55, 60]]
4: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 13, 17, 15, 16, 22, 28, 23, 18, 10, 21, 6], [24, 29, 25, 30, 31, 38, 34, 39, 36, 37, 41, 42, 43, 45, 46, 44], [47, 50, 48, 52, 53, 49, 51, 54, 60, 59, 56, 57, 55, 58]]
5: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 13, 10, 21, 15, 18, 16, 28, 23, 17, 22], [24, 25, 30, 29, 31, 39, 34, 38, 36, 37, 41, 42, 43, 44, 45, 46], [47, 50, 48, 52, 55, 49, 59, 54, 53, 51, 56, 57, 60, 58]]
6: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 18, 6, 9, 13, 28, 23, 15, 10, 21, 22, 17, 24, 31, 16], [25, 30, 29, 38, 34, 39, 36, 37, 44, 43, 42, 46, 45, 41], [47, 49, 48, 53, 58, 50, 51, 55, 57, 52, 54, 56, 59, 60]]
7: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 17, 10, 13, 15, 24, 16, 28, 22, 21, 23, 18], [29, 25, 30, 39, 44, 34, 37, 46, 36, 38, 43, 41, 42, 31, 45], [47, 50, 48, 54, 52, 59, 56, 51, 60, 53, 49, 57, 55, 58]]
8: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 13, 15, 24, 17, 18, 21, 28, 22, 23, 16, 25], [31, 29, 30, 38, 34, 39, 36, 37, 44, 41, 43, 42, 45, 47], [46, 51, 48, 49, 50, 53, 52, 58, 55, 54, 59, 56, 57, 60]]
9: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 15, 13, 22, 24, 21, 16, 25, 18, 23, 17, 28], [31, 29, 30, 39, 34, 38, 44, 37, 36, 45, 42, 41, 47, 43], [46, 49, 56, 48, 53, 54, 50, 52, 51, 55, 60, 59, 57, 58]]
10: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 10, 6, 9, 25, 13, 15, 16, 18, 17, 23, 28, 21, 22, 24], [29, 30, 31, 39, 34, 38, 36, 37, 44, 43, 41, 45, 42, 47], [46, 51, 50, 48, 52, 49, 55, 54, 53, 58, 57, 59, 56, 60]]
11: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 18, 6, 10, 15, 16, 28, 25, 9, 17, 22, 23, 21, 24, 13], [29, 30, 31, 39, 34, 38, 44, 37, 36, 42, 43, 47, 45, 41], [46, 51, 49, 48, 52, 50, 55, 53, 58, 56, 54, 59, 60, 57]]
12: [[26, 35, 20, 12, 32, 33, 4, 7, 1, 2, 14, 40, 19, 27, 3, 11], [5, 8, 9, 6, 10, 15, 25, 30, 16, 21, 13, 17, 18, 28], [22, 23, 24, 29, 31, 38, 34, 39, 44, 37, 36, 42, 43, 45, 46, 41], [47, 49, 48, 52, 60, 56, 55, 51, 54, 50, 58, 57, 53, 59]]
