0: [[2], [5, 14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
1: [[2], [5, 14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
2: [[2], [5, 14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
3: [[2, 5], [14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
4: [[2, 5], [14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
5: [[2, 5], [14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
6: [[2, 5], [14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
7: [[2, 5], [14, 10, 4], [7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
8: [[4, 2, 1, 3, 5], [14, 10], [7, 11], [9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
9: [[2, 5, 1], [14, 10, 4], [7, 11], [9, 6, 3], [13, 8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
10: [[2], [5, 14, 10, 7, 11], [9, 6, 13, 1], [8, 15], [12, 19, 4], [16, 17, 18, 22, 20, 3], [21, 23, 24]]
11: [[2, 1], [5], [14, 10, 4], [7, 11, 9, 6, 13], [8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
12: [[2, 5, 14, 10, 1], [7, 11], [9, 6, 3], [13, 8], [15, 12, 19, 16, 17, 18], [22, 20, 4], [21, 23, 24]]
13: [[2, 5, 14, 10], [7, 11], [9, 6, 13, 8, 1], [15, 12, 19, 16, 4], [17, 18, 3], [22, 20], [21, 23, 24]]
14: [[2], [5, 1], [14, 10, 4], [7, 11], [9, 6, 13, 8, 15], [12, 19, 16, 17, 18, 22, 20, 3], [21, 23, 24]]
15: [[2, 5, 14, 10, 1], [7, 11, 9, 6, 13], [8, 15], [12, 19], [16, 17, 18, 3], [22, 20, 4], [21, 23, 24]]
16: [[2, 5, 14, 10, 1], [7, 11, 9, 6, 13], [8, 15], [12, 19], [16, 17, 18, 3], [22, 20, 4], [21, 23, 24]]
17: [[2, 5, 14, 10, 4, 1], [7, 11], [9, 6, 13, 8], [15, 12], [19, 16, 17, 18, 3], [22, 20], [21, 23, 24]]
18: [[2], [5, 14, 10, 7, 11], [9, 6], [13, 8, 15, 12], [19, 16, 4, 1, 3], [17, 18, 22, 20], [21, 23, 24]]
19: [[2], [5, 14, 10, 7, 11], [9, 6], [13, 8, 15, 12], [19, 16, 4, 1, 3], [17, 18, 22, 20], [21, 23, 24]]
20: [[2], [5, 14, 10, 7, 11], [9, 6], [13, 8, 15, 12], [19, 16, 4, 1, 3], [17, 18, 22, 20], [21, 23, 24]]
21: [[2], [5, 14, 4], [10, 7, 11, 9], [6, 13, 1, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
22: [[2], [5, 14, 4], [10, 7, 11, 9], [6, 13, 1, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
23: [[2], [5, 14, 10, 7, 11, 1], [9, 6, 13, 8, 15, 12, 19], [16, 17, 18, 3], [22, 20, 4], [21, 23, 24]]
24: [[2], [5, 14, 10, 7, 4], [11, 9, 1], [6, 13, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
25: [[2], [5, 14, 10, 7, 4], [11, 9, 1], [6, 13, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
26: [[2], [5, 14, 10, 7, 4], [11, 9, 1], [6, 13, 3], [8, 15], [12, 19, 16, 17, 18, 22, 20], [21, 23, 24]]
