0: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
1: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
2: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
3: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
4: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
5: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
6: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
7: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
8: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
9: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
10: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
11: [[13, 29, 4, 8, 3, 12], [20, 2, 16, 1, 22, 14], [6, 17, 11, 23, 15, 10], [26, 27, 21, 5, 25], [7, 9, 18, 19, 24, 28]]
