0: [[20, 3, 2, 1, 10], [4, 6, 14, 5], [7, 11], [9, 8, 13], [12, 15, 18, 16, 17, 19, 22], [21, 23, 24]]
1: [[13, 20, 1], [2], [4, 6, 14, 5, 10], [7, 11], [9, 8, 12, 15], [18, 16, 17, 3], [19, 22], [21, 23, 24]]
2: [[20, 3, 2, 10, 1], [4, 6, 14, 5], [7, 11, 9, 8], [12, 15, 13], [18, 16, 17, 19, 22], [21, 23, 24]]
3: [[3, 2, 10], [4, 6], [14, 5], [7, 11], [9, 8, 13, 1, 20], [12, 15], [18, 16], [17, 19, 22], [21, 23, 24]]
4: [[20], [3, 2, 10], [4, 6, 14], [5, 7, 11], [9, 8, 12, 13, 1], [15, 18, 16], [17, 19, 22], [21, 23, 24]]
5: [[20, 3, 2, 10], [4, 6, 14], [5, 7], [11, 9, 8, 13, 1], [12, 15, 18, 16, 17, 19, 22], [21, 23, 24]]
6: [[20, 3, 10], [2, 4], [6, 14], [5, 7, 11], [9, 8, 13, 1], [12, 15, 18, 16], [17, 19, 22], [21, 23, 24]]
7: [[20], [3, 2, 10, 1], [4, 6, 14], [5, 7, 11, 9], [8, 12, 15, 18, 13], [16, 17], [19, 22], [21, 23, 24]]
8: [[13, 20, 1], [2], [4, 6, 14, 5, 7, 11, 10], [9, 8, 12, 15], [18, 16, 3], [17, 19, 22, 21], [23, 24]]
9: [[20, 3, 10, 1], [2, 4], [6, 14, 13], [5, 7, 11, 9, 8, 12], [15, 18, 16, 17, 19, 22], [21, 23, 24]]
10: [[20, 3, 2, 10, 1], [4, 6], [14, 5, 7], [11, 9, 8], [12, 15, 13], [18, 16, 17], [19, 22], [21, 23, 24]]
11: [[20, 3, 10], [2, 4, 6, 1], [14, 5], [7, 11, 9, 8], [12, 15, 13], [18, 16, 17], [19, 22], [21, 23, 24]]
12: [[20, 3, 2, 10, 1], [4, 6, 14, 5], [7, 11, 9, 8], [12, 15, 18, 13], [16, 17, 19], [22, 21], [23, 24]]
13: [[20, 3, 10], [2, 4], [6, 14], [5, 7, 11], [9, 8, 13, 1], [12, 15, 18], [16, 17, 19], [22, 21, 23, 24]]
14: [[20], [3, 2, 10, 1], [4, 6], [14, 5], [7, 11, 9, 8], [12, 15, 13], [18, 16, 17], [19, 22], [21, 23, 24]]
15: [[13, 20], [2, 4], [6, 14, 10, 3], [5, 7, 11], [9, 8, 12, 15, 18], [16, 17, 19, 1], [22, 21, 23, 24]]
16: [[13, 20, 1], [2, 4], [6, 14, 5, 10], [7, 11], [9, 8, 12, 15], [18, 16, 17, 3], [19, 22, 21], [23, 24]]
17: [[3, 2, 10], [4, 6], [14, 5], [7, 11], [9, 8, 13, 1, 20], [12, 15, 18, 16], [17, 19], [22, 21], [23, 24]]
18: [[3, 2, 10], [4, 6, 1], [14, 5], [7, 11], [9, 8, 12, 15, 13], [18, 16], [17, 19, 20], [22, 21], [23, 24]]
19: [[20, 3, 10], [2, 4], [6, 14, 5], [7, 11], [9, 8, 13, 1], [12, 15], [18, 16, 17, 19], [22, 21], [23, 24]]
20: [[3, 2, 10], [4, 6], [14, 5], [7, 11], [9, 8, 13, 1, 20], [12, 15], [18, 16, 17], [19, 22, 21], [23, 24]]
21: [[20, 3, 10], [2, 4], [6, 14, 5], [7, 11], [9, 8, 13, 1], [12, 15], [18, 16, 17], [19, 22, 21], [23, 24]]
22: [[13], [3], [2, 4], [6, 14, 5, 10], [7, 11, 9], [8, 12, 20], [15, 18, 16], [17, 19, 1], [22, 21, 23, 24]]
23: [[13], [3], [2, 4], [6, 14, 5, 10], [7, 11, 9], [8, 12, 1, 20], [15, 18, 16, 17, 19], [22, 21, 23, 24]]
24: [[13], [3], [2, 4, 6, 1], [14, 5, 7, 10], [11, 9], [8, 12, 20], [15, 18, 16], [17, 19, 22], [21, 23, 24]]
25: [[20], [3, 2, 4, 6, 10, 1], [14, 5], [7, 11, 9], [8, 12, 13], [15, 18, 16], [17, 19, 22, 21], [23, 24]]
26: [[20, 3, 2, 10, 1], [4, 6], [14, 5, 7, 11], [9, 8, 13], [12, 15], [18, 16], [17, 19], [22, 21], [23, 24]]
27: [[13, 20], [2, 4, 10, 1], [6, 14, 5, 7, 11], [9, 8, 12, 15, 18], [16, 17, 3], [19, 22, 21], [23, 24]]
28: [[20, 3, 10], [2, 4], [6, 14, 13], [5, 7], [11, 9, 8, 1], [12, 15, 18], [16, 17, 19], [22, 21, 23, 24]]
29: [[20, 3, 10], [2, 4], [6, 14], [5, 7], [11, 9], [8, 12, 13], [15, 18], [16, 17, 19, 22, 1], [21, 23, 24]]
30: [[20, 3, 10], [2, 4, 6, 14, 5], [7, 11], [9, 8, 13, 1], [12, 15], [18, 16, 17], [19, 22], [21, 23], [24]]
31: [[20, 3, 10], [2, 4, 6, 1], [14, 5], [7, 11, 9], [8, 12, 15, 13], [18, 16, 17], [19, 22, 21], [23, 24]]
32: [[13], [3, 2, 4, 6, 1], [14, 5, 10, 20], [7, 11, 9, 8, 12, 15], [18, 16, 17], [19, 22, 21, 23, 24]]
33: [[3], [2, 4, 10], [6, 14], [5, 7], [11, 9, 1], [8, 12, 13, 20], [15, 18, 16], [17, 19], [22, 21], [23, 24]]
34: [[13, 20, 3, 2, 10], [6, 14, 4], [5, 7], [11, 9, 1], [8, 12, 15, 18, 16, 17], [19, 22, 21, 23, 24]]
35: [[20], [3, 2, 10, 1], [4, 6, 14, 5], [7, 11, 9, 8], [12, 15, 18, 13], [16, 17, 19, 22, 21, 23, 24]]
36: [[20, 3, 10], [2, 4, 6, 1], [14, 5, 7], [11, 9], [8, 12, 13], [15, 18, 16, 17], [19, 22, 21, 23, 24]]
37: [[20], [3, 2, 10], [4, 6], [14, 5, 7], [11, 9, 8, 12, 13, 1], [15, 18, 16], [17, 19], [22, 21, 23], [24]]
