0: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [11, 8, 9, 6]]
1: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [11, 9, 8, 6]]
2: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [9, 11, 8, 6]]
3: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [11, 9, 8, 6]]
4: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [9, 11, 8, 6]]
5: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [8, 9, 11, 6]]
6: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [8, 9, 11, 6]]
7: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [11, 9, 8, 6]]
8: [[3, 5, 1], [10, 4], [12, 13, 7, 2], [11, 8, 9, 6]]
9: [[3, 5, 1], [10, 4], [12, 13, 7], [9, 2], [11, 8, 6]]
10: [[3, 5, 1], [10, 4], [12, 13, 7], [2, 6, 9], [11, 8]]
11: [[3, 5], [1, 10, 4], [12, 13, 7, 2, 6, 9, 8, 11]]
12: [[5, 1, 3], [10, 4, 12], [13, 7], [6, 9, 11, 8, 2]]
13: [[3, 5, 1], [10, 12, 4], [13, 2, 7], [11, 9, 6, 8]]
14: [[3, 5, 1], [10, 12, 4], [13, 2, 7], [6, 9, 11, 8]]
15: [[5, 1, 3], [10, 4, 12], [13, 7], [6, 9, 11, 8, 2]]
16: [[5, 1, 3], [10, 4, 12], [13, 7], [6, 9, 11, 8, 2]]
17: [[3, 5, 1], [10, 4, 12], [13, 7, 2, 6, 9, 8, 11]]
18: [[3, 5, 1], [10, 4, 12], [13, 7, 2, 6, 9, 8, 11]]
19: [[3, 5, 1], [10, 4, 12], [13, 7], [2, 6, 9], [11, 8]]
20: [[3, 5, 1], [10, 4, 12, 13, 7], [2, 6, 8, 9, 11]]
21: [[3, 5, 1], [10, 12, 13, 4, 7], [6, 9, 11, 8, 2]]
22: [[3, 5, 1], [10, 4, 12, 13], [7, 2, 6, 9, 11, 8]]
23: [[3, 5], [1, 10, 12, 2, 4], [13, 6], [9, 11, 8, 7]]
24: [[3, 5], [1, 10, 12, 2, 4], [13, 6], [9, 11, 8, 7]]
25: [[3, 5], [1, 10], [12, 13, 7], [6, 2, 4], [9, 8, 11]]
26: [[3, 5, 1, 10], [4, 12, 13, 7], [2, 6, 9, 11, 8]]
27: [[3, 5, 1, 10], [12, 13, 4, 7], [6, 2], [9, 11, 8]]
