0: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
1: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
2: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
3: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
4: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
5: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
6: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
7: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
8: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
9: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
10: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
11: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
12: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
13: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
14: [[7, 25, 19, 2, 1, 5, 15, 6], [3, 4, 20, 11, 8, 12], [13, 17, 9, 18, 16, 22, 23, 10, 14], [21, 24, 26, 29, 27, 28]]
