0: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 16, 13, 9, 4], [12, 19, 17, 18, 20]]
1: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 16, 13, 9, 4], [12, 19, 17, 18, 20]]
2: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 13, 15, 16, 9, 4], [12, 19, 17, 18, 20]]
3: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 4, 13, 9, 16], [12, 19, 17, 18, 20]]
4: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 13, 16, 4, 9], [12, 19, 17, 18, 20]]
5: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 4, 13, 9, 16], [12, 19, 17, 18, 20]]
6: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 13, 12, 4, 9, 16], [15, 19, 17, 18, 20]]
7: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 13, 12, 9, 4, 15], [16, 19, 17, 18, 20]]
8: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 4, 13, 12, 9], [16, 19, 17, 18, 20]]
9: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 4, 9, 13, 12], [16, 19, 17, 18, 20]]
10: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 4, 13, 9, 12], [16, 19, 17, 18, 20]]
11: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 13, 12, 9, 4, 15], [16, 19, 17, 18, 20]]
12: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 13, 12, 9, 4, 15], [16, 19, 17, 18, 20]]
13: [[1, 11, 3], [10, 2, 8, 5, 7], [14, 6, 15, 4, 13, 12, 16], [9, 19, 17, 18, 20]]
14: [[1, 11, 3], [5, 7, 10, 8, 2, 14, 6], [13, 9, 15, 4, 12], [16, 19, 17, 18, 20]]
15: [[1, 11, 3], [5, 7, 8, 10, 2, 14, 6], [15, 16, 13, 4, 9], [12, 19, 17, 18, 20]]
16: [[1, 11, 3], [5, 7, 10, 8, 2, 14, 6], [15, 16, 13, 9, 4], [12, 19, 17, 18, 20]]
17: [[1, 11, 3], [5, 7, 10, 8, 2, 6, 14], [15, 16, 13, 4, 9], [12, 19, 17, 18, 20]]
18: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 20, 13, 9, 12], [4, 19, 17, 18, 16]]
19: [[1, 11, 3, 5, 7], [10, 8, 2], [14, 6, 15, 16, 13, 4, 9], [12, 19, 17, 18, 20]]
20: [[1, 11, 3, 5, 7], [10, 8, 2], [14, 6, 15, 4, 13, 9, 16], [12, 19, 17, 18, 20]]
21: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 15, 16], [13, 12, 9], [4, 19, 17, 18, 20]]
22: [[1, 11, 3, 5, 7], [10, 8, 2], [14, 6, 12, 4, 13, 16, 9], [15, 19, 17, 18, 20]]
23: [[1, 11, 3, 5, 7], [10, 8, 2], [14, 12, 13, 16, 9, 6, 4], [15, 19, 17, 18, 20]]
24: [[1, 11, 3], [5, 7, 10, 8, 2], [14, 6, 15, 12, 13, 4, 17], [16, 19, 9, 18, 20]]
25: [[1, 11, 3, 5, 7], [10, 8, 2], [14, 6, 15, 12, 13, 4, 9], [16, 19, 17, 18, 20]]
26: [[1, 11, 3], [5, 7, 10, 8, 2, 14, 6], [15, 18, 9, 4, 13], [12, 19, 17, 16, 20]]
27: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 15, 16], [13, 4, 9], [12, 19, 17, 18, 20]]
28: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6], [12, 4, 13, 16, 9], [15, 19, 17, 18, 20]]
29: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6], [15, 4, 13, 9, 12], [16, 19, 17, 18, 20]]
30: [[1, 11, 3, 5, 7, 10, 8], [2, 6, 14], [15, 16, 13, 4, 9], [12, 19, 17, 18, 20]]
31: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 13, 9], [15, 4, 16], [12, 19, 17, 18, 20]]
32: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 13, 9], [15, 4, 16], [12, 19, 17, 18, 20]]
33: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 9, 15], [13, 16, 4], [20, 19, 17, 18, 12]]
34: [[1, 11, 3, 5, 7], [10, 8, 2, 14, 13, 6, 9], [4, 12, 17], [15, 19, 16, 18, 20]]
35: [[1, 11, 3, 5, 7, 10, 6], [2, 14, 4], [16, 13, 8, 9, 15], [12, 19, 17, 18, 20]]
36: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 4, 6], [15, 20, 9], [13, 19, 17, 18, 16, 12]]
37: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 13, 12], [9, 4, 15], [16, 19, 17, 18, 20]]
38: [[1, 11, 7, 2, 3, 10, 4], [5, 6, 15], [12, 9, 13, 14, 8], [16, 19, 17, 18, 20]]
39: [[1, 11, 3, 5, 7, 10, 8], [2, 14, 6, 12, 4], [13, 16, 17], [9, 19, 15, 18, 20]]
