0: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12, 9, 5, 13]]
1: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12, 9, 5, 13]]
2: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12, 9], [5, 13]]
3: [[3, 1, 4], [8, 6, 11], [2, 10], [7, 12, 9], [5, 13]]
4: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12, 9], [5, 13]]
5: [[3, 1], [4, 8, 6, 11, 2, 10], [7, 12, 9, 5, 13]]
6: [[3, 1, 4], [8, 6, 11], [2, 10], [7, 12], [9, 5, 13]]
7: [[3, 1, 4], [8, 6, 11], [2, 10], [7, 12], [9, 5, 13]]
8: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12], [9, 5, 13]]
9: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12], [9, 5, 13]]
10: [[3, 1, 4], [8, 6, 11], [2, 10, 7, 12], [9, 5, 13]]
11: [[3, 1, 4], [8, 6], [11, 2, 10], [7, 12, 9], [5, 13]]
12: [[3, 1, 4], [8, 6, 11, 2], [10, 7, 12], [9, 5, 13]]
13: [[3, 1], [4, 8, 6, 11, 2], [10, 7, 12, 9, 5, 13]]
14: [[3, 1, 4], [8, 6, 11, 2], [10, 7, 12], [9, 5, 13]]
15: [[3, 1, 4], [8, 6, 11, 2], [10, 7, 12], [9, 5, 13]]
16: [[3, 1, 4], [8, 6, 11], [2, 10, 7], [12, 9], [5, 13]]
17: [[3, 1, 4], [8, 6, 11, 2, 10, 7, 12], [9, 5, 13]]
18: [[3, 1, 4], [8, 6, 11, 2, 10, 7, 12], [9, 5, 13]]
19: [[3, 1, 4], [8, 6, 11], [2, 10, 7], [12, 9], [5, 13]]
20: [[3, 1, 4], [8, 6, 11], [2, 10, 7], [12, 9, 5, 13]]
21: [[3, 1, 4], [8, 6, 11], [2, 10, 7], [12, 9, 5, 13]]
22: [[3, 1], [4, 8, 6], [11, 2], [10, 7, 12], [9, 5, 13]]
23: [[3, 1], [4, 8, 6], [11, 2, 10, 7], [12, 9, 5, 13]]
24: [[3, 1, 4, 8, 6], [11, 2, 10, 7], [12, 9, 5, 13]]
25: [[3, 1, 4, 8], [6, 11, 2, 10, 7, 12], [9, 5, 13]]
