0: [[53, 43], [35, 7, 1, 3, 2], [13, 5, 6, 21], [4, 24, 11, 9, 10, 12], [29, 8], [19, 15, 14], [31, 16, 18], [17], [23, 22, 25, 26, 27, 28], [20, 30, 40, 32, 34, 33], [36, 37, 45], [47, 39, 38, 46], [41, 42, 44, 50, 56], [54, 48, 51], [55, 52], [57, 49], [59, 58, 60]]
1: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 15, 4, 8, 27, 24], [14, 9, 10, 11, 31, 18, 17, 12, 16, 20, 22, 23, 19, 26, 30], [25, 28, 29, 34, 40, 38, 37, 32, 41, 33, 36, 47, 42, 39, 46], [44, 45], [49, 48, 57], [50, 52, 54, 51, 55, 60, 59, 58, 56]]
2: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 15, 4, 12, 26, 30], [8, 14, 9, 11, 20], [10, 23, 16, 22, 18, 17, 24, 19, 27, 28, 25], [31, 29, 32, 38, 34], [33, 36, 39, 37, 40], [41, 44, 42, 45], [47, 46], [48, 49, 57], [50, 51, 52, 54, 55, 60, 58, 59, 56]]
3: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6], [12, 8, 3, 20, 4, 10, 5, 9, 16, 26, 22, 17, 31, 15, 14], [18, 19, 23, 25, 24, 29, 27, 28, 30, 32, 33, 34, 37, 40, 38, 46], [39, 45, 36, 42, 44], [41, 47, 54, 48, 57, 49], [51, 50, 58, 56, 52, 59], [55, 60]]
4: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 11, 9, 4, 8, 25, 12, 24, 14, 10, 30, 26, 18, 22, 31, 15, 19, 16, 23, 17, 28, 20, 27, 46, 29, 32, 33, 38, 37, 36, 39, 40, 41, 34], [44, 47, 42, 45, 54], [49, 57, 50, 51, 48, 58, 52, 56, 59, 55, 60]]
5: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 9, 3, 12, 27, 30, 14, 4, 8, 15, 23, 10, 22, 17, 25, 18, 20, 16, 19, 24, 26, 28, 31, 29, 34, 33, 37, 32, 36, 39, 42, 40, 38, 45, 46, 44], [41, 47, 48, 49, 57, 50, 51, 52, 54, 55, 58, 56, 59, 60]]
6: [[53, 43, 2, 35, 7], [1, 3, 13, 21, 6], [5, 15, 4, 8, 10, 26, 12, 9, 30, 11, 18, 20, 19, 17, 16, 14, 24, 22, 23, 25, 27, 29, 28, 31, 33, 37, 34, 36, 39, 38, 32, 42, 41, 45, 47, 44, 40, 46], [54, 51, 49, 48, 57, 52, 50, 55, 59, 56, 58, 60]]
7: [[53, 43, 3, 35, 1, 2], [9, 13, 21, 6], [4, 10, 5, 7, 17, 30, 12], [28, 8, 19, 15, 11, 16, 18, 23, 20], [25, 22, 14, 26, 27, 24, 29, 31, 41, 32, 33, 34, 45, 36, 37, 39], [38, 42, 46, 40, 47, 44], [54, 49, 57, 48, 52, 50], [58, 55, 56, 51, 60, 59]]
8: [[53, 43, 2, 35, 7, 1], [3, 13, 21, 6, 5], [4, 11, 9, 8], [24, 10, 12, 15, 14], [18, 23, 17, 19, 16, 26], [22, 20, 25, 31, 27, 29, 28, 30, 36, 40, 37, 32, 45, 39, 41, 46, 33, 38, 42], [34, 44, 47, 48, 49, 57, 50, 52, 55, 60, 54, 51, 58, 56, 59]]
9: [[53, 43, 2, 35, 7, 1], [11, 13, 21, 6, 5], [15, 4, 3, 26, 10, 8, 9, 12, 14, 18], [20, 31, 17, 16, 22, 24, 19, 23, 25, 29, 27, 28, 30, 33, 32, 34], [36, 39, 38, 40, 41], [45, 37, 44, 42, 47], [46, 54, 48, 49, 50, 57, 52, 58, 55, 51, 56, 59, 60]]
10: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 4, 10], [1, 11, 27, 26, 15, 28, 8, 9, 12, 14, 19, 18, 16, 17, 20, 22, 24, 23, 25, 29, 31, 30, 38, 40], [34, 36, 37, 32, 33], [45, 47, 39, 46, 44, 42], [41, 54, 49, 59, 52, 51, 48, 50, 55, 58, 56, 57, 60]]
11: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 15, 1, 14, 9, 26, 10, 8, 30, 11, 18, 20, 16, 17, 22, 12, 25, 19, 23, 24, 27, 29, 28], [31, 33, 37, 34, 36, 38, 32, 39, 40, 41, 47], [42, 44, 45, 46, 54, 49, 51, 48, 50, 52, 58, 60, 59, 56, 55, 57]]
12: [[53, 43, 2, 35, 7, 1], [11, 13, 21, 6], [3, 10, 5, 4, 14, 24, 8], [9, 12, 26, 15, 17, 16, 18, 23, 22], [19, 20, 25, 27, 29, 28, 30, 31, 32, 34, 39, 37, 45, 33, 47, 38], [36, 41, 40, 42, 44, 46], [54, 49, 57, 55, 50, 51, 58, 52, 59, 48, 56, 60]]
13: [[53, 43, 2, 35, 7], [1, 11, 13, 21, 6], [4, 9, 3, 12, 27, 24, 8, 28, 5, 14], [16, 23, 10, 18, 15], [17, 20, 19, 25, 22], [29, 26, 31, 30, 37, 33, 32, 34, 36, 38], [39, 46, 41, 40, 44, 47, 42, 45, 54, 49, 50, 52, 51, 48, 58, 56, 55, 59, 57, 60]]
14: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 4, 3, 8, 26, 10], [12, 9, 15, 14, 31, 18, 17, 23, 16, 20, 22, 25, 19, 24, 30, 27, 28], [29, 32, 37, 39, 33], [34, 40], [38, 36, 41, 42, 45], [44, 46, 47, 50, 49, 57], [48, 51, 54, 55, 52, 60], [59, 58, 56]]
15: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 11], [4, 12, 25, 28, 8, 9, 15, 10, 22, 17, 14, 16, 18], [20, 23, 19, 26, 29, 27, 31, 24, 46, 30, 34], [33, 37, 40, 32, 36, 38], [45, 42, 39, 47, 44, 41, 54, 49, 50, 55, 51, 59, 52, 48, 60, 56, 57, 58]]
