0: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
1: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
2: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
3: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
4: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
5: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
6: [[1, 10, 4], [5, 12, 2, 7, 3, 13], [6, 11, 8, 9]]
7: [[1, 10, 4], [5, 12, 2], [7, 3, 13], [6, 11, 8, 9]]
8: [[1, 10, 4], [5, 12, 2], [7, 3, 13], [6, 11, 8, 9]]
9: [[1, 10, 4], [5, 12, 2], [7, 3, 13], [6, 11, 8, 9]]
10: [[1, 10, 4], [5, 12, 2, 7, 3], [13, 6, 11, 8, 9]]
11: [[1, 10, 4, 5], [12, 2, 7, 3, 13], [6, 11, 8, 9]]
12: [[1, 10, 4, 5], [12, 2, 7, 3, 13], [6, 11, 8, 9]]
13: [[1, 10, 4, 5], [12, 2, 7, 3, 13], [6, 11, 8, 9]]
14: [[1, 10, 4], [5, 12, 2], [7, 3], [13, 6, 11, 8, 9]]
15: [[1, 10, 4, 5], [12, 2], [7, 3, 13], [6, 11, 8, 9]]
16: [[1, 10, 4], [5, 12, 2, 7], [3, 13], [6, 11, 8, 9]]
17: [[1, 10, 4], [5, 12, 2], [7, 3, 13, 6], [11, 8, 9]]
18: [[1, 10, 4, 5, 12], [2, 7, 3, 13], [6, 11, 8, 9]]
19: [[1, 10, 4, 5, 12], [2, 7, 3, 13], [6, 11, 8, 9]]
20: [[1, 10, 4, 5, 12], [2, 7, 3, 13], [6, 11, 8, 9]]
21: [[1, 10, 4, 5], [12, 2, 7, 3], [13, 6, 11, 8, 9]]
22: [[1, 10, 4], [5, 12, 2, 7], [3, 13, 6, 11, 8, 9]]
23: [[1, 10, 4], [5, 12, 2, 7], [3, 13, 6, 11, 8, 9]]
24: [[1, 10, 4, 5], [12, 2, 7, 3], [13, 6, 11, 8, 9]]
25: [[1, 10, 4, 5, 12, 2], [7, 3, 13, 6], [11, 8, 9]]
