0: [[7, 35, 1, 2], [3, 4, 30], [28, 13, 5, 6, 21], [9, 8, 12], [11, 27, 14], [15, 16, 17, 23, 25, 10, 18], [19, 26, 20, 31], [22, 24, 29, 40, 32], [34, 39, 45], [37, 36, 33, 38, 43, 42], [44, 47, 54, 56], [46, 48, 41], [59, 50, 51, 52], [49, 53, 55, 60, 57], [58]]
1: [[7, 35, 1, 2], [3, 4, 30], [28, 13, 5, 6, 21], [9, 8, 12], [11, 27, 14], [15, 16, 17, 23, 25, 10, 18], [19, 26, 20, 31], [22, 24, 29, 40, 32], [34, 39, 45], [37, 36, 33, 38, 43, 42], [44, 47, 54, 56], [46, 48, 41], [59, 50, 51, 52], [49, 53, 55, 60, 57], [58]]
2: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 11, 9, 10, 14, 12, 15, 31, 24, 18, 19, 17, 26, 23, 25, 16, 27, 20, 29, 22, 40, 37, 32, 39, 33, 38, 34, 42, 45, 36, 41, 44, 47, 43, 46, 48, 51, 50], [52, 49, 53, 55, 54, 57, 59, 56, 58, 60]]
3: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 9, 15, 12, 10, 11, 14, 20, 22, 18, 25, 17, 26, 16, 19, 27, 23, 31, 24, 29, 40, 36, 32, 33, 34], [42, 37, 39, 38, 46, 41, 43, 45, 47, 44], [48, 51, 52, 50, 49, 53, 55, 54, 57], [56, 58, 59, 60]]
4: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 6, 9], [8, 15, 11, 10, 12, 5, 14, 23, 17, 25, 18], [16, 19, 20], [27, 22, 26, 40], [44, 24, 38, 39, 33, 42, 29, 31], [32, 34, 37, 36, 43], [41, 47, 45, 46, 48, 51, 49, 54, 50, 55, 53, 52, 57, 58, 59, 60, 56]]
5: [[7, 2, 35, 1], [3, 4], [30, 28, 13, 21], [9, 14, 5, 6, 8, 12, 10, 11, 17], [18, 24, 27, 15, 20, 19, 23, 16, 22], [25, 31, 26, 29, 32, 33, 34, 38, 37, 36, 39, 43, 40, 42, 45, 41, 44, 47, 56, 46, 48, 55, 51], [50, 49, 52, 53, 58, 57, 59], [54, 60]]
6: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 5, 21, 6], [24, 9, 8, 12, 10], [14, 11, 22, 16, 15, 18, 19, 20, 23, 17, 27, 25, 26, 31, 29, 32, 39, 33, 34, 38, 45, 37, 41, 36, 40, 44, 43, 42, 52, 46, 48, 47, 51, 50, 49, 55, 54, 53, 60, 56, 59, 58, 57]]
7: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 14], [25, 15, 12, 6, 8, 10, 24, 18, 20, 9, 31, 11, 19, 16, 17, 22, 27, 23, 26, 29, 32], [37, 33, 34, 39, 36, 38, 42, 40, 41], [45, 44, 43, 47, 46, 52, 51, 48], [55, 50, 49, 54, 53, 57, 58, 59, 56, 60]]
8: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 6, 8], [5, 10, 9, 12, 14, 15, 11, 16], [20, 17, 19, 22, 18, 23, 26, 31, 24, 25, 27, 29, 32, 33, 36, 34, 37, 39, 47, 42, 41, 38, 40, 43, 46, 45, 44, 56, 51, 53, 54, 50, 49, 48, 52, 55, 57, 59, 58, 60]]
9: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [24, 10, 9, 8, 14, 12, 17, 11, 16, 23, 18, 19, 20, 15, 25, 27, 22, 26, 31, 29, 32, 39], [33, 34, 38, 47, 36, 43, 37, 46, 45, 41, 42, 40, 44, 48, 51, 50, 54, 49, 53, 55, 52, 60, 59, 57, 58, 56]]
10: [[7, 2, 35, 1], [3, 4], [30, 28], [13, 21, 5, 6], [8, 9, 14, 10, 11, 12, 17, 16, 26, 23, 24, 15, 18, 25, 27, 31, 19, 20, 22, 29, 40, 36, 32, 33, 34, 38, 37, 47, 39, 45, 41, 43, 42, 44, 46, 48, 51, 52, 54, 49, 53, 55, 56, 59, 50, 58, 57, 60]]
11: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5], [6, 10, 11], [8, 9, 14, 15, 29, 31, 16, 12], [20, 19, 18, 17, 22, 23, 25, 27, 26, 24, 40], [37, 32, 39, 33, 38, 34, 42, 43, 36, 45, 44], [47, 41, 46, 48], [51, 50, 52, 49, 53, 55, 54, 56, 59, 57, 58, 60]]
12: [[7, 2, 35, 1, 3, 4, 30], [28, 13, 21, 5], [6, 8, 11, 9], [10, 12, 14], [26, 18, 16, 15, 17], [20, 19, 27, 22, 24, 23, 25, 31, 29, 40, 34, 43, 38, 33, 32, 37, 39, 36, 47, 44, 41, 42, 45, 46, 48, 55, 51, 50, 52], [49, 54, 53, 58, 56, 59, 57, 60]]
13: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 10, 11, 9, 26, 14, 29, 15, 12, 19, 16], [17, 22, 20, 18, 27, 25, 23, 24, 31, 32, 37], [33, 38, 42, 43, 36, 34, 40, 45, 44], [39, 46, 41, 47, 48, 51, 54, 50, 49], [52, 55, 53, 56], [57, 58, 59, 60]]
14: [[7, 2, 35, 1, 3], [4, 30, 28, 13, 5, 8, 11, 18, 21, 6], [15, 9, 14, 31, 12, 24, 19, 16, 10], [17, 23, 20, 22, 27, 25, 26, 29, 32, 36, 33, 37, 42, 34, 45, 47, 46, 38, 44], [39, 40, 41, 43], [48, 49, 53, 50, 51, 52, 55, 54, 57, 56, 58, 59, 60]]
15: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5, 6], [8, 10, 9], [11, 14, 15, 27, 12, 22, 17, 18, 20, 16, 19, 24, 23, 31, 29, 25, 26, 36, 37, 32, 33, 34, 39], [38, 45, 42, 44, 40], [43, 41, 47, 46, 48, 55, 51, 50, 49, 52, 54, 59, 53, 57, 56, 58, 60]]
16: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6], [12, 8, 9, 15, 10, 14], [16, 19], [17, 20, 18, 11, 22], [23, 24, 26], [25, 29, 31, 27, 32, 45, 33, 34, 38, 37, 36, 42, 41, 39, 40, 43, 47], [44], [60, 48, 49, 50, 46, 53, 52, 55, 54, 57], [51, 56, 59, 58]]
17: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6, 20], [8, 10, 14, 12, 11, 15, 27, 31, 17], [18, 16, 9, 19, 25, 29, 22, 23, 24], [26, 32, 37], [36, 34, 44, 39, 38], [33, 42], [40, 46, 43, 41, 45, 47, 48], [51, 49, 50, 55, 53, 54, 59, 52, 57, 56, 60, 58]]
18: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 9, 6, 8, 11, 12, 14, 16, 24, 20, 23, 15, 22, 19, 18, 26, 17, 10], [27, 25, 31, 29, 32, 38, 42, 36, 33, 46, 39, 41, 47, 43, 37, 34, 40, 44, 45, 52], [60, 49, 50, 48, 55, 51, 56, 54, 58, 57, 53, 59]]
19: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 6], [24, 10, 11], [9, 14, 27, 8, 12, 18, 15, 19, 20, 16, 22, 23, 17, 31, 29, 25, 26, 32, 37, 33, 41, 34, 39], [38, 45, 40, 44, 36, 43], [42, 47, 46, 52, 53, 49, 50, 48, 51, 55, 56, 54, 58, 57, 59, 60]]
