0: [[20], [18, 53, 13, 23], [24, 1], [35, 2, 4, 43, 12, 22], [27], [47, 75], [3, 34], [6, 5], [7], [19], [57], [25, 14, 15], [81, 17, 16, 21], [26, 11, 50], [28, 31, 32, 29], [30, 56, 59, 33], [37, 40, 36], [38], [9, 42], [44, 39, 8], [45, 41, 46, 60], [48, 61], [51, 54, 52, 49], [58, 55, 62], [63], [64], [66, 78], [71, 67, 68], [65], [69, 76, 77, 10], [70, 73, 72, 83, 82], [74, 79], [85], [80, 84, 87], [86, 88]]
1: [[20], [18, 53, 13, 23], [24, 1], [35, 2, 4, 43, 12, 22], [27], [47, 75], [3, 34], [6, 5], [7], [19], [57], [25, 14, 15], [81, 17, 16, 21], [26, 11, 50], [28, 31, 32, 29], [30, 56, 59, 33], [37, 40, 36], [38], [9, 42], [44, 39, 8], [45, 41, 46, 60], [48, 61], [51, 54, 52, 49], [58, 55, 62], [63], [64], [66, 78], [71, 67, 68], [65], [69, 76, 77, 10], [70, 73, 72, 83, 82], [74, 79], [85], [80, 84, 87], [86, 88]]
2: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 15, 9, 8, 11, 10, 12, 13, 14, 16, 28, 25, 49, 20], [17, 21, 18, 26, 19, 29, 27, 30, 53, 56, 47, 57, 31, 34, 55, 39, 32, 58, 33, 7], [35, 41, 37, 46, 38, 50, 42, 43, 44, 40, 45, 52, 54, 48, 51, 59, 61, 60, 62, 63, 66, 68, 82, 65], [64, 67, 69, 71, 74, 70, 75, 72, 73, 79, 76, 78, 84, 83, 77, 86, 85, 81, 80, 87, 88]]
3: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 11, 8, 9, 7, 46, 15, 26, 16, 18, 10, 12, 13], [53, 20, 19, 17, 21, 59, 29, 27, 28, 39, 25, 51, 33, 30, 31, 34, 32, 37, 35, 40], [55, 41, 38, 44, 45, 42, 56, 47, 48, 60, 49, 43, 50, 52, 58, 54, 57, 61, 63, 62, 65, 64, 76, 66], [69, 67, 75, 70, 71, 68, 74, 73, 79, 72, 77, 78, 84, 81, 82, 80, 83, 86, 85, 87, 88]]
4: [[36, 6, 22, 23, 24, 3, 16, 2, 5, 4, 7, 13, 8, 10, 11, 1, 9, 15, 29, 14, 27, 12], [19, 20, 25, 21, 18, 26, 59, 17, 30, 28, 44, 54, 61, 31, 46, 42, 34, 35, 37, 33, 50, 39], [32, 43, 40, 41, 38, 63, 45, 47, 52, 49, 48, 53, 55, 51, 56, 57, 58, 60, 62, 65, 64, 69, 72], [77, 66, 71, 75, 70, 68, 67, 76, 74, 73, 78, 79, 85, 82, 80, 84, 83, 86, 81, 87, 88]]
5: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 3, 11, 7, 13, 29, 8, 10, 12, 14, 15], [20, 44, 16, 58, 17, 19, 18, 21, 26, 30, 56, 53, 27, 25, 46, 28, 40, 43, 31, 33, 39, 62, 35, 32], [34, 37, 42, 50, 47, 38, 41, 61, 45, 55, 48, 49, 51, 52, 54, 57, 60, 63, 59, 68, 64, 81, 70], [67, 65, 77, 66, 69, 72, 75, 71, 74, 76, 79, 73, 87, 83, 80, 84, 78, 82, 85, 86, 88]]
6: [[36, 6, 22, 23, 24, 9, 1, 2, 13, 4, 7, 5, 15, 10, 8, 11, 12, 31, 14, 28, 16, 20], [50, 17, 21, 18, 19, 27, 63, 25, 26, 29, 57, 30, 35, 34, 56, 52, 32, 33, 47, 41, 45, 44], [37, 38, 39, 40, 42, 43, 46, 60, 61, 48, 53, 49, 54, 51, 55, 58, 59, 62, 66, 3, 64, 70, 65], [71, 69, 67, 72, 74, 76, 68, 78, 75, 73, 77, 87, 84, 81, 83, 79, 80, 82, 86, 85, 88]]
7: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 10, 19, 7, 12, 3, 8, 14, 15, 11, 13, 17, 16], [21, 25, 26, 20, 18, 27, 28, 29, 56, 30, 46, 34, 47, 58, 31, 39, 41, 32, 40, 44, 33, 37], [38, 61, 42, 48, 63, 43, 35, 52, 51, 59, 50, 45, 49, 53, 54, 55, 60, 57, 62, 65, 64, 66, 67], [76, 70, 73, 77, 71, 72, 68, 78, 69, 74, 75, 79, 82, 81, 80, 84, 85, 83, 87, 86, 88]]
8: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 12, 15, 11, 8, 14, 7, 9, 10, 13, 29], [17, 20, 25, 18, 16, 27, 19, 21, 26, 63, 28, 35, 44, 51, 39, 46, 32, 50, 30, 38, 31, 33, 34], [62, 40, 45, 49, 42, 57, 41, 43, 47, 37, 48, 52, 55, 53, 54, 58, 59, 56, 60, 61, 66, 68, 80, 73], [70, 65, 69, 64, 77, 78, 67, 76, 72, 75, 74, 79, 71, 85, 82, 81, 83, 86, 87, 84, 88]]
9: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 4, 11, 8, 10, 27, 14, 12, 15, 18, 25, 17, 13, 20], [21, 16, 19, 29, 26, 30, 62, 31, 46, 28, 7, 55, 37, 34, 57, 33, 50, 38, 32, 39, 56], [43, 41, 44, 40, 45, 47, 42, 58, 49, 35, 54, 53, 52, 48, 51, 59, 63, 60, 61, 64, 70, 65, 68], [72, 71, 67, 66, 75, 76, 69, 74, 73, 77, 79, 78, 81, 80, 83, 82, 85, 84, 87, 86, 88]]
10: [[36, 6, 22, 23, 24, 3, 2, 1, 4, 7, 13, 5, 14, 11, 10, 8, 9, 27, 12, 15, 16, 20], [25, 19, 26, 17, 18, 21, 31, 29, 61, 59, 56, 30, 28, 39, 32, 34, 40, 45, 33, 35, 41, 44], [37, 42, 46, 47, 43, 49, 57, 50, 51, 54, 52, 48, 53, 55, 58, 60, 62, 63, 38, 66, 65, 67, 64], [73, 78, 70, 71, 79, 69, 68, 77, 75, 72, 74, 76, 81, 80, 82, 87, 86, 84, 83, 85, 88]]
