0: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21], [15, 4, 10], [16, 26, 5, 18], [22, 28, 31], [25, 33], [32, 20, 19], [45], [37, 39, 29, 46], [34, 42], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
1: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21], [15, 4, 10], [16, 26, 5, 18], [22, 28, 31], [25, 33], [32, 20, 19], [45], [37, 39, 29, 46], [34, 42], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
2: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21], [15, 4, 10], [16, 26, 5, 18], [22], [28, 31, 25], [33, 32, 20], [19, 45], [37, 39, 29], [46, 34], [42, 41], [54, 44, 38], [51, 48, 53], [58, 59, 49, 57], [60]]
3: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21, 15, 4, 10, 16, 26, 18, 5, 22, 28], [31, 25, 33, 32, 20, 19, 45, 37, 39, 53, 46, 42, 29, 41, 54, 44, 38, 34, 48, 51, 58, 59], [49, 57, 60]]
4: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21, 15, 4, 10, 16, 26, 18, 5, 22, 28], [31, 25, 33, 32, 20, 19, 45, 37, 39, 53, 46, 42, 29, 41, 54, 44, 38, 34, 48, 51, 58, 59], [49, 57, 60]]
5: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 11], [8, 50], [6, 21, 26], [10, 4, 16], [5, 18, 15], [22, 28, 31], [25, 33, 32], [20, 19, 45], [37, 39, 29], [46, 34, 42], [41, 54, 44], [38], [51, 48], [53, 58, 59], [49, 57, 60]]
6: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4, 10], [16, 26], [5, 22, 28, 18], [31, 25, 33], [32, 20], [19, 45, 37], [39, 46, 34], [42, 41, 54, 29], [44, 38, 53], [48, 51, 58], [59, 49, 57], [60]]
7: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4], [10, 16, 26], [18, 5], [22, 28, 31], [25, 33], [32, 20], [19, 45], [37, 39, 46, 29, 42], [34, 41, 54, 44], [38, 53, 48], [51, 58, 59], [49, 57, 60]]
8: [[27, 9, 52], [40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21, 15], [10, 4, 16], [5, 26, 18], [22, 28, 31], [25, 33, 32], [20, 19, 45], [37, 39, 46], [29, 42, 34, 41], [54, 44, 38], [53, 48, 51, 58], [59, 49, 57, 60]]
9: [[27, 9, 52], [40, 23], [24, 12, 36], [30, 3], [47, 7, 35], [2, 26, 43], [56, 55, 1, 13, 17, 8, 50, 6, 21, 11, 15, 4, 10, 16, 14, 18, 5], [22, 28, 31], [25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 53, 48, 51, 58, 59], [49, 57, 60]]
10: [[27, 9, 52], [40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4, 10], [16, 26, 5], [18, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46], [34], [42, 41, 54], [44, 38], [53, 48, 51, 58], [59, 49, 57, 60]]
11: [[27, 9], [52, 40, 23, 18], [24, 12, 36], [30, 3, 47], [7, 35, 2, 17, 43], [56, 55, 1], [13, 14, 11, 21, 6], [8, 50, 26, 15, 4, 16, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 51, 48, 53, 10], [58, 59, 49, 57], [60]]
12: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21, 15], [4, 10, 16], [26, 18, 5], [22, 28, 31, 25], [33, 32, 20, 19], [45, 37], [39], [29, 46], [34, 42, 41], [54, 44, 38], [51, 48, 53], [58, 59, 49, 57, 60]]
13: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [25, 43, 56], [55, 1], [13, 21, 26], [8, 50, 6], [11, 15, 4, 10], [16, 14, 5], [18, 22, 28], [31, 17, 33], [32, 20, 19, 45], [37, 39, 29], [46, 42, 53], [54, 58], [44, 38, 34], [48, 51, 41, 59, 49, 57, 60]]
14: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10, 16], [26, 5], [18, 22, 28], [31, 25, 33], [32, 20], [19, 45, 37], [39, 29, 46], [34, 42, 41], [54, 44, 38], [53], [48, 51], [58, 59], [49, 57, 60]]
15: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 11], [8, 50, 6, 21], [15, 4, 10, 16, 26, 5, 18, 22, 28, 31, 25, 34, 32, 20, 19, 45, 37, 39, 46, 29, 42, 33, 41, 54, 44, 38, 53], [48, 51, 58, 59], [49, 57, 60]]
16: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1], [13, 26, 21], [8, 50], [6, 11], [15, 4], [10, 16], [14, 18], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46, 34], [42, 41], [54, 53], [38, 44, 48], [51, 58, 59], [49, 57, 60]]
17: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 8, 50], [11, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46, 42], [58, 54, 34], [44, 38, 41], [48, 51, 53, 59, 49, 57, 60]]
18: [[27, 9, 52], [40, 23], [24, 12, 36], [30, 3, 47], [7], [35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21, 15], [4, 10], [18, 16, 26], [5, 22, 28], [31, 25, 29], [32, 20, 19], [45, 37, 39], [33, 46, 34], [42, 41, 54], [53, 38, 44, 48, 51, 58, 59], [49, 57, 60]]
19: [[27, 9, 52], [40, 23, 18], [24, 36, 12], [30, 3, 47], [7], [35, 17, 2], [43, 56, 55], [1, 13, 14, 11, 21], [8, 50, 15, 6, 10], [4, 16], [26, 5, 22], [28], [31, 25, 33], [32, 20], [19, 45, 37], [39, 46, 34, 29], [42, 41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57], [60]]
20: [[27, 9, 52], [40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50], [6, 21], [15, 4, 10], [16, 26], [5, 18, 22], [28, 31, 25], [33, 32, 20], [19, 45], [37], [39, 46, 58, 42], [29, 54, 53, 44], [38, 34, 48], [51, 41, 59], [49, 57, 60]]
21: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 8, 50], [11, 6, 21], [15, 4, 10], [16, 5, 18, 26], [22, 28, 31], [25, 33, 32], [20, 19, 45], [37, 39, 29], [46, 42, 58, 41, 54], [34, 38], [44, 48, 51, 53, 59, 49, 57, 60]]
22: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56], [55, 1, 13], [14, 11], [8, 50, 6], [21, 15, 4], [10, 16, 26, 5, 18], [22, 28, 31], [25, 33, 32, 20], [19, 45], [37, 39, 29], [46, 34, 42], [41, 54], [44, 38, 51], [48, 53, 58, 59], [49, 57, 60]]
23: [[27], [9, 52], [40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4], [10, 16, 26], [18, 5, 22], [28, 31, 25, 33], [32, 20, 19], [45, 37, 39], [53, 46, 42, 58], [41, 54, 34, 38], [44, 48, 51], [29], [59, 49, 57, 60]]
24: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25, 33], [32, 20, 19, 45], [37, 39, 46, 29, 42, 34, 41, 54, 44], [38, 53, 48, 51, 58, 59, 49, 57, 60]]
