0: [[8, 11, 3], [1, 2], [14, 4], [7, 5, 10], [13, 12, 9], [16, 6, 15], [19, 17, 18, 20]]
1: [[8, 11, 3], [1, 2], [14, 4], [7, 5, 10], [13, 12, 9], [16, 6, 15], [19, 17, 18, 20]]
2: [[8, 11, 3], [1, 2], [14, 4], [7, 5, 10], [13, 12, 9], [16, 6], [19, 17, 18, 20, 15]]
3: [[8, 11, 3, 1], [2, 14, 4], [7, 5, 10], [13, 12, 9], [16, 6, 15], [19, 17, 18, 20]]
4: [[8, 11, 3], [1, 2, 14, 4], [7, 5], [13, 12], [10, 16, 9, 6, 15], [19, 17, 18, 20]]
5: [[8, 11, 3], [1, 2], [14, 5, 7, 10, 4], [13, 12, 15, 16, 9, 6], [19, 17, 20, 18]]
6: [[8, 11, 3], [1, 2], [14, 4], [5, 7, 13, 12], [10, 9], [16, 6, 15], [19, 17, 18, 20]]
7: [[8, 11, 3], [1, 2, 14, 4], [7, 5], [10, 13, 12], [16, 9, 6, 15], [19, 20, 18, 17]]
8: [[8, 11, 3, 1], [14, 2, 4, 6], [5, 7], [13, 10], [12, 15, 16, 9], [19, 17, 18, 20]]
9: [[8, 11, 3], [1, 2, 14, 4], [7, 5, 10], [13, 12, 9, 6], [18, 19], [17, 16, 20, 15]]
10: [[8, 11, 3], [1, 2, 14, 4], [5, 12, 7], [13, 10, 9], [16, 6, 15], [17, 19, 18, 20]]
11: [[8, 11, 3], [1, 2], [14, 7, 4], [5, 10], [13, 12], [16, 9, 6], [19, 17, 15], [18, 20]]
12: [[8, 11, 3], [1, 2, 14, 4], [7, 5, 10], [13, 12, 15, 18, 9, 6], [19, 17, 16, 20]]
13: [[8, 11, 3], [1, 14, 2, 4], [7, 5, 10], [13], [12, 9], [15, 18, 19, 17, 16, 20, 6]]
14: [[8, 11, 3, 1], [2, 14, 7, 6], [10, 9], [13, 12], [5, 17, 4, 15], [19, 16, 18, 20]]
15: [[8, 11, 3], [1, 2], [14, 4], [7, 5, 10], [13], [12, 16, 9], [19, 6, 15], [17, 18, 20]]
16: [[8, 11, 3], [1, 2], [14, 7, 5, 10, 4], [13, 12], [18, 9, 6], [19, 17, 16, 20, 15]]
17: [[8, 11, 3], [1, 2], [14, 4, 6], [5, 7, 13, 12], [10, 9], [16, 19, 17, 15], [20, 18]]
18: [[8, 11, 3], [1, 2, 14, 5], [7, 10, 4, 6], [13, 12, 9], [16, 19, 17, 15], [18, 20]]
19: [[8, 11, 3, 1, 2], [14, 7, 5, 10], [12, 13, 4, 15], [6, 9], [18, 19, 16, 20, 17]]
20: [[8, 11, 3], [1, 2, 14, 7, 4, 6], [5, 10], [13, 12, 15, 18, 19, 16, 17, 20, 9]]
21: [[8, 11, 3], [1, 2, 14], [7, 5, 4], [12, 13, 9], [10, 16, 19, 6, 15], [17, 18, 20]]
22: [[8, 11, 3], [1, 2], [14, 4], [5, 7, 12, 13], [10, 9], [6, 15], [16, 19, 17, 20, 18]]
23: [[8, 11, 3], [1, 2, 14], [7, 5, 10, 4], [13, 12, 9], [18, 6], [19, 17, 16, 20, 15]]
24: [[8, 11, 3, 1], [2, 14, 4, 6], [7, 5, 12, 9], [13], [10], [17, 19, 16, 15], [18, 20]]
25: [[8, 11, 3], [1, 2, 14, 5, 7, 4], [6, 12, 9, 15], [10, 13, 16], [19, 20, 18, 17]]
26: [[8, 11, 3], [1, 2, 14, 4], [7, 5, 10, 13], [12, 15, 18, 19, 17, 16, 20, 9, 6]]
27: [[8, 11, 3], [1, 2, 14, 4], [7, 5, 10, 13], [12, 18, 9], [15, 17, 16, 19, 20, 6]]
28: [[8, 11, 3], [1, 2, 14, 6], [5, 7, 4, 15], [12, 13], [10, 17, 9], [19, 16, 20, 18]]
29: [[8, 11, 3], [1, 2], [14, 7, 4, 6], [5, 10, 13, 12, 18, 15, 19, 17, 16, 20, 9]]
30: [[8, 11, 3, 1, 2], [14, 4, 7, 5, 10, 13, 12, 9, 17, 6, 15], [19, 18, 16, 20]]
31: [[8, 11, 3], [1, 2], [14, 4], [7, 5, 13, 12], [10, 9], [16, 6, 15, 19], [17, 18], [20]]
32: [[8, 11, 3], [1], [14, 5, 2, 4, 6], [7, 13, 9], [12, 15, 10, 18], [19, 16, 17, 20]]
33: [[8, 11, 3], [1, 2, 14], [5, 7, 4], [10], [13, 12, 9], [18, 6], [17, 16, 19, 20, 15]]
34: [[8, 11, 3], [1, 2, 14], [7, 5, 4], [10, 13, 12], [16, 19, 9, 6, 15], [17, 20, 18]]
35: [[8, 11, 3], [1, 2, 14, 6], [7, 5, 4], [10, 13], [12, 18, 9], [17, 16, 19, 20, 15]]
36: [[8, 11, 3], [1, 2, 14], [7, 4], [5, 10, 13, 12, 9], [16, 6, 19, 17, 18, 20, 15]]
37: [[8, 11, 3], [1, 2, 14, 4], [5, 7, 6], [13, 12, 10, 15, 16, 19, 17, 18, 20, 9]]
38: [[8, 11, 3], [1, 2, 14, 6], [5, 4], [7, 13, 12], [10, 18, 9], [19, 17, 16, 20, 15]]
39: [[8, 11, 3], [1, 2, 14], [7, 5, 12, 4], [13, 10, 9], [18, 6], [19, 17, 16, 20, 15]]
40: [[8], [11, 3], [1, 2, 14, 4, 7, 9, 10], [13, 12, 5, 18, 6, 15, 19, 17, 16, 20]]
41: [[8], [11, 3, 1, 2, 14, 4, 7, 5, 10, 13, 12, 9, 6, 15, 16, 19, 17, 18], [20]]
