0: [[7, 4, 1, 3, 35, 14, 2], [12, 40, 5, 29, 9, 11, 10, 18], [17, 25, 8, 30, 15, 13, 16, 6, 21], [22, 23], [27, 19, 24, 31, 26, 20, 28, 47, 32], [33, 39, 34, 38, 37, 42, 41], [44, 43], [45, 36, 46, 50, 53, 51, 48], [57, 49, 52], [55, 54, 58, 56], [59, 60]]
1: [[7, 4, 1, 3, 35, 14, 2], [12, 40, 5, 29, 9, 11, 10, 18], [17, 25, 8, 30, 15, 13, 16, 6, 21], [22, 23], [27, 19, 24, 31, 26, 20, 28, 47, 32], [33, 39, 34, 38, 37, 42, 41], [44, 43], [45, 36, 46, 50, 53, 51, 48], [57, 49, 52], [55, 54, 58, 56], [59, 60]]
2: [[7, 4, 1, 2, 35, 5, 3], [15, 41, 8, 11, 9, 18], [14, 12, 16, 30, 10], [17, 19, 13, 23, 27, 22, 20, 25, 21, 6], [28, 31], [24, 26, 29, 46, 33, 32, 36, 34, 37, 38], [40, 45, 43, 44, 42, 39, 47, 52, 48], [49, 54, 50, 53, 56, 55, 57, 59], [58, 51, 60]]
3: [[7, 4, 1, 2, 35, 3, 5], [12, 40, 9, 29, 6, 11, 15, 18], [17, 26, 14, 24, 8, 10, 16, 13, 21], [23, 22], [31, 19, 25, 30, 27, 20, 28, 47, 32], [33, 37, 34, 36, 38, 41, 39], [43, 42], [45, 44, 46, 50, 53, 49, 48, 56], [54, 52, 51, 55, 58, 57, 59, 60]]
4: [[7, 4, 1, 2, 35], [3, 10, 11, 33, 5, 20, 12, 9, 15, 26, 13, 14, 28, 16, 8, 23, 6, 17, 21, 22, 25, 19, 24, 18, 27, 29, 30, 31, 39, 34, 37, 32, 40, 36, 38, 41, 44, 43, 45, 47, 54, 42, 50, 46, 55], [49, 48, 51, 53, 52, 57, 58, 56, 60, 59]]
5: [[7, 4, 1, 2, 35, 5, 11], [6, 40, 3, 21, 8, 9, 14], [13, 12, 18, 16, 30, 10, 17, 19, 15, 24], [27, 22, 20, 23, 28, 31, 25, 26, 29, 46, 34, 32, 36, 37, 33, 38, 39, 41, 43], [44, 45, 42, 47, 52, 54, 49, 48, 57, 53, 51, 55, 50, 58, 60, 56, 59]]
6: [[7, 4, 1, 2, 35], [3, 13, 46, 11, 5, 31, 21, 6], [26, 9, 8], [14, 20, 15, 12, 10], [19, 17, 22, 27, 25, 24, 28, 23, 16, 29, 30], [45], [33, 38, 39, 34, 32, 37, 36, 41, 40, 43, 42, 44, 47, 54, 48, 50, 57, 53, 49, 52, 51, 55, 56, 58, 59, 60, 18]]
7: [[7, 4, 1, 2, 35, 5], [3, 41, 9, 29, 8, 30, 22, 15], [14, 6, 19, 12, 26, 13, 10, 11, 21, 20, 16], [25], [17, 24, 18, 23, 27], [31, 45, 28, 34, 33, 36], [37, 40, 38, 32, 39, 43, 44, 47, 52, 42], [50, 46, 54, 51], [53, 49, 56, 55, 57, 59, 60, 48, 58]]
8: [[7, 4, 1, 3, 35, 2, 11], [5, 40, 13, 12, 25, 10, 14, 6, 8, 21, 23, 9, 15, 17, 26, 19], [20, 16, 18, 22, 27, 29, 24, 30, 31, 28, 39], [33, 34, 36, 38, 32, 37, 44, 45, 43, 41, 47, 42, 46, 50, 48], [52, 51, 57, 53, 54, 55, 49, 60, 56, 58, 59]]
9: [[7, 4, 1, 2, 35, 5], [3, 41, 9, 29, 8, 30, 22, 15], [14, 6, 19, 12, 26, 13, 10, 11, 21, 20, 16], [25], [17, 24, 18, 23, 27], [31, 45, 28, 34, 33, 36], [37, 40, 38, 32, 39, 43, 44, 47, 52, 42], [50, 46, 54, 51], [53, 49, 56, 55, 57, 59, 60, 48, 58]]
10: [[7, 4, 1, 2, 35, 5, 3], [10, 47, 11, 9, 14, 12, 8, 6, 13, 20, 15, 19, 26, 21, 16, 23], [29, 17, 18, 25, 30, 24, 22, 27, 31, 28, 33, 32, 44, 36, 37, 34, 39, 43, 38, 40, 41, 42, 55], [45, 50, 46, 54, 48, 56, 49, 52, 51, 59, 57, 58, 53, 60]]
