0: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6], [9, 8], [10, 29, 14], [13, 15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32, 33], [37, 34]]
1: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6], [9, 8], [10, 29, 14], [13, 15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32, 33], [37, 34]]
2: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
3: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6], [9, 8], [10, 29, 14], [13, 15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
4: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36], [6, 9], [8, 10, 29], [14, 13, 15, 19], [21, 17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32, 33], [37, 34]]
5: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
6: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
7: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
8: [[11, 7], [35, 27, 2], [1, 3, 4, 22], [12, 20, 5], [36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
9: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
10: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
11: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20, 5], [36, 6, 9], [8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
12: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15, 19, 21], [17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
13: [[11, 7, 35], [27, 2], [1, 3, 4], [22, 12, 20], [5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19, 21], [17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
14: [[11, 7], [35, 27, 2], [1, 3], [4, 22, 12], [20, 5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
15: [[11, 7], [35, 27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32], [33, 37, 34]]
16: [[11, 7, 35], [27, 2, 1], [3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14], [13, 15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28], [30, 31, 32, 33, 37, 34]]
17: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36], [6, 9, 8], [10, 29, 14], [13, 15], [19, 21], [17, 16, 23], [18, 24, 25], [26, 28], [30, 31, 32], [33, 37, 34]]
18: [[11, 7, 35], [27, 2], [1, 3, 4], [22, 12, 20], [5, 36, 6], [9, 8, 10], [29, 14, 13], [15, 19, 21], [17, 16, 23], [18, 24, 25], [26, 28], [30, 31, 32], [33, 37, 34]]
19: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23, 18], [24, 25, 26, 28], [30, 31, 32], [33, 37, 34]]
20: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36], [6, 9, 8], [10, 29, 14], [13, 15, 19], [21, 17, 16, 23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
21: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13], [15, 19], [21, 17, 16], [23, 18, 24], [25, 26, 28], [30], [31, 32, 33, 37, 34]]
22: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13], [15, 19, 21], [17, 16, 23, 18, 24, 25, 26, 28], [30, 31, 32, 33, 37, 34]]
23: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20], [5, 36, 6], [9, 8, 10, 29], [14, 13, 15, 19, 21, 17, 16], [23, 18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
24: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23], [18, 24, 25, 26, 28, 30, 31, 32, 33, 37, 34]]
25: [[11, 7, 35, 27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9], [8, 10, 29], [14, 13, 15], [19, 21, 17], [16, 23], [18, 24, 25, 26], [28, 30, 31, 32, 33, 37, 34]]
26: [[11, 7, 35], [27, 2, 1], [3, 4, 22], [12, 20, 5], [36, 6, 9, 8, 10, 29, 14, 13, 15, 19, 21, 17, 16, 23, 18, 24, 25, 26], [28, 30, 31, 32, 33, 37, 34]]
