0: [[6, 5, 3], [1, 2], [10, 4, 14], [7, 11], [8, 13, 9], [12, 15, 19, 17, 16, 20, 18, 22], [23, 21, 24]]
1: [[6, 5, 3], [1, 2], [10, 4, 14], [7, 11], [8, 13, 9], [12, 15, 19, 17, 16, 20, 18, 22], [23, 21, 24]]
2: [[1, 6, 3], [2, 10], [4, 14, 5], [7, 11], [8, 13, 9], [12, 15, 19, 17, 16, 20, 18, 22], [23, 21, 24]]
3: [[1, 2, 6], [10, 4, 14], [7, 11], [8, 13, 9], [12, 15], [19, 17, 5], [16, 20, 3], [18, 22], [23, 21, 24]]
4: [[1, 2, 10], [4, 14], [7, 11], [8, 13, 9, 12, 6, 5], [15, 19], [17, 16, 20, 3], [18, 22], [23, 21, 24]]
5: [[2, 10], [4, 14], [7, 11, 8], [13, 9, 6, 1], [12, 15], [19, 17, 5], [16, 20, 3], [18, 22], [23, 21, 24]]
6: [[1], [2, 10], [4, 14], [7, 11], [8, 13, 9, 6, 5], [12, 15], [19, 17, 16, 3], [20, 18, 22], [23, 21, 24]]
7: [[1], [2, 10], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17], [16, 20, 18, 3], [22, 23, 21, 24]]
8: [[1], [2, 10, 3], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17, 16, 20, 18], [22, 23, 21, 24]]
9: [[1], [2, 10, 3], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17, 16, 20], [18, 22], [23, 21, 24]]
10: [[1, 2, 10], [4, 14], [7, 11, 8], [13, 9], [12, 15, 19], [17, 16, 6, 5, 3], [20, 18, 22], [23, 21, 24]]
11: [[1, 2, 10], [4, 14], [7, 11, 8], [13, 9], [12, 15, 19], [17, 16, 6, 5, 3], [20, 18, 22], [23, 21, 24]]
12: [[1, 2, 6, 3], [10, 4, 14], [7, 11, 8], [13, 9], [12, 15, 19, 5], [17, 16, 20], [18, 22], [23, 21, 24]]
13: [[1], [2, 10, 3], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17, 16], [20, 18, 22], [23, 21, 24]]
14: [[1], [2, 10, 4, 3], [14, 7, 11], [8, 13], [9, 12, 15, 6, 5], [19, 17, 16], [20, 18, 22], [23, 21, 24]]
15: [[1, 2], [10, 4], [14, 7], [11, 8, 13], [9, 12, 15, 6, 5], [19, 17], [16, 20, 18, 3], [22, 23, 21, 24]]
16: [[1, 6, 3], [2, 10], [4, 14], [7, 11, 8], [13, 9], [12, 15, 19, 5], [17, 16, 20], [18, 22], [23, 21, 24]]
17: [[1], [2, 10], [4, 14], [7, 11, 8], [13, 9, 12, 6, 5], [15, 19], [17, 16, 20, 3], [18, 22], [23, 21, 24]]
18: [[2, 10, 1], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19], [17, 16, 3], [20, 18], [22, 23, 21, 24]]
19: [[1], [2, 10], [4, 14], [7, 11], [8, 13], [9, 12, 15, 6, 5], [19, 17, 16, 3], [20, 18], [22, 23, 21, 24]]
20: [[1], [2, 10, 3], [4, 14, 7], [11, 8], [13, 9, 12, 6, 5], [15, 19, 17, 16, 20, 18], [22, 23, 21, 24]]
21: [[1], [2, 10], [4, 14, 7], [11, 8, 13], [9, 12, 15, 6, 5], [19, 17, 16, 3], [20, 18, 22], [23, 21, 24]]
22: [[1, 6, 3], [2, 10], [4, 14, 5], [7, 11], [8, 13, 9], [12, 15, 19, 17, 16, 20, 18, 22], [23, 21], [24]]
23: [[1], [2, 10], [4, 14, 7], [11, 8], [13, 9, 12, 6, 5], [15, 19], [17, 16, 3], [20, 18], [22, 23, 21, 24]]
24: [[1], [2, 10, 4], [14, 7], [11, 8, 13], [9, 12, 6, 5], [15, 19], [17, 16, 3], [20, 18], [22, 23, 21, 24]]
25: [[1], [2, 10], [4, 14], [7, 11], [8, 13, 5], [9, 12, 15, 19, 6], [17, 16, 20, 18, 3], [22, 23], [21, 24]]
26: [[2, 10], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19, 17], [16, 20, 3, 1], [18, 22, 23], [21, 24]]
27: [[1, 2, 10], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19], [17, 16, 20, 3], [18, 22, 23, 21, 24]]
28: [[1], [2, 10], [4, 14], [7, 11], [8, 13, 9, 6, 5], [12, 15, 19], [17, 16, 3], [20, 18, 22, 23], [21, 24]]
29: [[2, 10], [4, 14, 1], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19], [17, 16, 20, 18, 3], [22, 23], [21, 24]]
30: [[1, 2], [10, 4, 3], [14, 7, 11], [8, 13, 9, 6, 5], [12, 15], [19, 17, 16], [20, 18, 22, 23, 21, 24]]
31: [[1], [2, 10], [4, 14], [7, 11], [8, 13], [9, 12, 6, 5], [15, 19], [17, 16, 20, 3], [18, 22, 23, 21, 24]]
32: [[1], [2, 10], [4, 14], [7, 11], [8, 13, 9, 6, 5], [12, 15], [19, 17, 16, 3], [20, 18, 22, 23, 21, 24]]
