0: [[8, 9, 11], [13, 12, 7], [6, 1, 3, 5, 2], [4, 10]]
1: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2], [4, 10]]
2: [[8, 9, 11], [13, 12, 7], [6, 1, 3, 5], [2, 4, 10]]
3: [[8, 9, 11], [13, 12, 7], [6, 1, 3, 5], [2, 4, 10]]
4: [[8, 9, 11], [13, 12, 7], [6, 1, 3, 5, 2, 4, 10]]
5: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2], [4, 10]]
6: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2], [4, 10]]
7: [[8, 9, 11], [13, 12, 7], [6, 1, 3, 5, 2, 4, 10]]
8: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
9: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
10: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
11: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
12: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
13: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4, 10]]
14: [[8, 9, 11], [13, 12, 7], [6, 1], [3, 5], [2, 4, 10]]
15: [[8, 9, 11], [13, 12, 7], [6, 1], [3, 5], [2, 4, 10]]
16: [[8, 9, 11], [13, 12, 7], [6, 1], [3, 5], [2, 4, 10]]
17: [[8, 9, 11, 13, 12, 7], [6, 1, 3, 5], [2, 4, 10]]
18: [[8, 9, 11], [13, 12, 7, 6], [1, 3, 5], [2, 4, 10]]
19: [[8, 9, 11], [13, 12, 7, 6], [1, 3, 5], [2, 4, 10]]
20: [[8, 9, 11], [13, 12, 7], [6, 1, 3], [5, 2, 4], [10]]
21: [[8, 9, 11, 13], [12, 7, 6], [1, 3, 5, 2, 4, 10]]
22: [[8, 9, 11], [13, 12], [7, 6], [1, 3, 5, 2, 4, 10]]
23: [[8, 9, 11], [13, 12], [7, 6], [1, 3, 5, 2, 4, 10]]
24: [[8, 9, 11, 13, 12], [7, 6, 1, 3], [5, 2, 4, 10]]
25: [[8, 9], [11, 13, 12, 7, 6, 1], [3, 5, 2, 4, 10]]
