0: [[23, 33, 30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17, 11], [15, 29, 24, 8], [1, 2, 12, 20], [35, 31, 13, 5], [22, 36, 10, 21, 6], [25, 28, 26], [19, 14, 34]]
1: [[23, 33, 30, 32], [27, 3, 18], [9, 7, 16, 37], [4, 17, 11], [15, 29, 24], [8, 1, 2], [12, 20, 35], [31, 13, 5], [22, 36, 10, 21, 6], [25, 28, 26], [19, 14, 34]]
2: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17, 11], [15, 29, 24], [8, 1, 2], [12, 20, 35], [31, 13, 5, 22], [36, 10, 21, 6], [25, 28, 26], [19, 14, 34]]
3: [[23, 33, 30], [32, 27, 3], [18, 9, 7], [16, 37], [4, 17, 11], [15, 29, 24], [8, 1, 2], [12, 20], [35, 31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
4: [[23, 33, 30], [32, 27, 3], [18, 9, 7], [16, 37, 4], [17, 11, 15], [29, 24], [8, 1, 2], [12, 20, 35], [31, 13, 5], [22, 36, 10], [21, 6], [25, 28, 26], [19, 14, 34]]
5: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17], [11, 15, 29], [24, 8, 1], [2, 12, 20], [35, 31, 13, 5, 22, 36, 10, 21, 6], [25, 28, 26], [19, 14, 34]]
6: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17], [11, 15, 29], [24, 8, 1], [2, 12, 20], [35, 31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
7: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17, 11], [15, 29, 24], [8, 1, 2], [12, 20, 35], [31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
8: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17, 11], [15, 29, 24], [8, 1, 2], [12, 20, 35], [31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
9: [[23, 33, 30], [32, 27, 3], [18, 9, 7], [16, 37], [4, 17], [11, 15, 29], [24, 8, 1], [2, 12, 20], [35, 31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
10: [[23, 33], [30, 32, 27], [3, 18, 9], [7, 16, 37], [4, 17, 11], [15, 29], [24, 8, 1], [2, 12, 20, 35], [31, 13], [5, 22, 36], [10, 21, 6], [25, 28, 26], [19, 14, 34]]
11: [[23, 33, 30], [32, 27, 3], [18, 9, 7], [16, 37, 4], [17, 11, 15], [29, 24, 8], [1, 2, 12], [20, 35], [31, 13, 5], [22, 36, 10], [21, 6], [25, 28, 26], [19, 14, 34]]
