0: [[19, 5], [2, 4, 1, 22, 7], [12, 9, 3], [10, 14], [6, 8, 18, 15], [13], [29, 11, 17, 16], [20, 23, 27, 21], [26, 28, 25], [24], [30, 31, 34, 32], [36, 35], [33], [37]]
1: [[19, 5], [2, 4], [1, 22, 7], [12], [9, 3], [10, 14], [6, 8, 18], [15, 13], [29, 11, 17], [16, 20], [23, 27, 21], [26, 28, 25], [24], [30, 31, 34], [32, 36], [35, 33, 37]]
2: [[19, 5], [2, 4, 1], [22, 7, 12], [9, 3, 10], [14, 6], [8, 18], [15, 13, 29], [11, 17], [16, 20, 23], [27, 21], [26, 28, 25], [24, 30], [31, 34, 32], [36, 35, 33, 37]]
3: [[19, 5, 2], [4], [1, 22, 7], [12, 9, 3], [10, 14, 6], [8, 18, 15], [13, 29, 11], [17], [16, 20, 23], [27, 21], [26, 28, 25], [24, 30, 31, 34, 32, 36, 35, 33, 37]]
4: [[19, 5], [2, 4, 1], [22, 7], [12, 9, 3], [10, 14], [6, 8, 18], [15, 13], [29, 11, 17], [16, 20, 23], [27, 21, 26], [28, 25, 24], [30, 31], [34, 32, 36], [35, 33, 37]]
5: [[19, 5, 2], [4, 1, 22], [7, 12, 9], [3, 10, 14], [6, 8, 18], [15, 13, 29], [11, 17], [16, 20, 23], [27, 21], [26, 28, 25], [24, 30, 31], [34, 32, 36], [35], [33, 37]]
6: [[19, 5], [2, 4, 1, 22, 7], [12, 9, 3], [10, 14, 6], [8, 18], [15, 13, 29], [11, 17], [16, 20, 23], [27, 21, 26], [28, 25, 24], [30, 31], [34, 32, 36], [35, 33, 37]]
7: [[19, 5], [2, 4, 1], [22, 7], [12], [9, 3], [10, 14, 6], [8, 18, 15], [13, 29, 11], [17, 16], [20, 23], [27, 21, 26], [28, 25], [24, 30, 31], [34, 32, 36], [35, 33, 37]]
8: [[19, 5], [2, 4, 1, 22], [7, 12], [9, 3, 10], [14], [6, 8], [18, 15, 13], [29, 11, 17], [16, 20, 23], [27, 21, 26], [28, 25, 24], [30, 31, 34], [32, 36], [35, 33, 37]]
9: [[19, 5], [2, 4, 1], [22, 7, 12], [9, 3], [10, 14, 6], [8, 18, 15], [13, 29, 11], [17, 16], [20, 23], [27, 21, 26], [28, 25], [24, 30, 31], [34, 32, 36], [35, 33, 37]]
10: [[19, 5], [2, 4], [1, 22], [7, 12], [9, 3], [10, 14], [6], [8, 18], [15, 13, 29], [11, 17], [16, 20, 23], [27, 21, 26], [28, 25, 24], [30, 31, 34], [32, 36, 35], [33, 37]]
