0: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 12, 28, 24]]
1: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 12, 10, 28, 24]]
2: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
3: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
4: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
5: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 10, 12]]
6: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
7: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
8: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
9: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
10: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
11: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
12: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 12, 10]]
13: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
14: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 24, 28, 10, 12]]
15: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
16: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
17: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
18: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 28, 12, 24]]
19: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 28, 24, 10, 12]]
20: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
21: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 28, 12]]
22: [[25, 5, 17, 18], [1, 4, 19, 8, 2], [7, 13, 9, 23, 22], [11, 15, 16, 14], [26, 29, 21, 27], [20, 3, 6, 10, 24, 12, 28]]
