It No., Best MQ, No clusters, max clus, min clus
1,1.3947570947570949,3,13,12
2,1.4617525993956555,3,13,12
3,1.3753579522449904,4,10,9
4,1.4626146085089757,5,8,7
5,1.431083844580777,3,13,12
6,1.3791530921121467,3,13,12
7,1.302661885186157,3,13,12
8,1.6228354978354977,4,10,9
9,1.4136235313264853,4,10,9
10,1.5009051554506099,3,13,12
11,1.4219596095318863,3,13,12
12,1.4322081064730792,3,13,12
13,1.5286977732915736,5,8,7
14,1.5820352263007704,5,8,7
15,1.491645569620253,3,13,12
16,1.392921632358252,3,13,12
17,1.4205405405405407,3,13,12
18,1.4620231756968367,3,13,12
19,1.5021916173876957,4,10,9
20,1.4088704113224235,3,13,12
21,1.5041264697015375,3,13,12
22,1.4332144533655224,3,13,12
23,1.421919153375903,3,13,12
24,1.2758218792701552,3,13,12
25,1.370753886072032,3,13,12
26,1.5888856905806057,4,10,9
27,1.4569248365966239,4,10,9
28,1.514503176315474,4,10,9
29,1.4231292517006802,3,13,12
30,1.3954430796969104,3,13,12
31,1.384200056834328,3,13,12
