0: [[18], [5, 1, 13, 23], [2, 12, 22], [4, 20, 15, 3, 14], [7, 31], [28], [26, 59, 8], [17, 50], [16, 6, 9, 10], [21, 24, 34, 39], [29, 25, 55, 11], [19, 27, 58, 30, 32], [33, 35], [46, 36], [42, 44, 40], [47, 45, 54, 37], [38, 49], [56, 41], [48, 51], [52, 62, 43], [53, 63, 60, 57], [70, 74], [64, 66, 67, 78], [69, 61, 72], [65, 68], [73, 76], [75, 71, 77], [79, 82, 81], [80, 83], [87, 84, 86], [85, 88]]
1: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 38, 44, 37, 40, 46, 42, 43, 53, 47, 51, 50, 54, 55, 49, 62, 58, 52, 61, 60, 63, 56, 57, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
2: [[22, 5, 36, 1, 2, 6, 16, 12, 13, 28, 29, 24, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 42, 44, 37, 38, 43, 48, 47, 57, 46, 53, 49, 54, 50, 51, 52, 56, 55, 63, 58, 62, 61, 60, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
3: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 38, 37, 48, 42, 47, 46, 43, 56, 60, 44, 51, 54, 49, 52, 50, 53, 55, 58, 57, 62, 61, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
4: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 46, 38, 40, 44, 47, 57, 48, 56, 61, 43, 45, 50, 51, 49, 55, 54, 53, 60, 58, 62, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
5: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 44, 37, 43, 38, 46, 58, 40, 63, 50, 49, 47, 60, 53, 51, 61, 52, 54, 55, 56, 62, 57, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
6: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 40, 32, 39, 45, 42, 38, 43, 37, 47, 44, 46, 49, 61, 48, 51, 58, 53, 62, 52, 57, 50, 54, 55, 56, 60, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
7: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 44, 37, 40, 46, 42, 43, 47, 38, 49, 51, 53, 50, 56, 54, 52, 55, 61, 63, 57, 58, 60, 62, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
8: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 52, 32, 39, 37, 42, 38, 43, 40, 47, 46, 45, 54, 55, 50, 49, 61, 44, 48, 56, 51, 58, 60, 53, 62, 57, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
9: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 42, 37, 40, 46, 38, 52, 62, 54, 43, 53, 47, 49, 51, 44, 58, 50, 60, 57, 61, 55, 56, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
10: [[22, 5, 36, 1, 2, 6, 16, 24, 13, 28, 29, 12, 23], [9, 8, 30, 15, 7, 11, 3, 4, 18, 21, 17, 20, 14, 25, 33, 41, 59, 31], [19, 10, 26, 34, 27, 35, 48, 32, 39, 45, 38, 37, 53, 44, 40, 42, 57, 46, 55, 47, 43, 54, 50, 52, 51, 60, 49, 62, 56, 58, 61, 63, 68, 69, 77], [67, 64, 65, 71, 74, 66, 70, 73, 72, 75, 76, 78, 79, 84, 81, 80, 83, 86, 82, 85, 87, 88]]
