0: [[56, 23], [29, 20, 19, 45, 12], [41, 8], [1, 58], [16, 24, 54], [7, 14, 55, 46, 2], [4, 48, 5, 44, 18], [57, 9], [13, 21], [49, 28, 59], [27, 60, 11], [33, 36, 35, 25, 34, 50], [39, 3, 30, 31, 51], [37, 22, 38, 26], [40], [42, 53, 43, 32, 17], [47, 52], [15, 6, 10]]
1: [[56, 23], [29, 20, 19, 45, 12], [41, 8], [1, 58], [16, 24, 54], [7, 14, 55, 46, 2], [4, 48, 5, 44, 18], [57, 9], [13, 21], [49, 28, 59], [27, 60, 11], [33, 36, 35, 25, 34, 50], [39, 3, 30, 31, 51], [37, 22, 38, 26], [40], [42, 53, 43, 32, 17], [47, 52], [15, 6, 10]]
2: [[56, 23], [29, 20, 19, 45, 12], [41, 8], [1, 58], [16, 24, 54], [7, 14, 55, 46, 2], [4, 48, 5, 44, 18], [57, 9], [13, 21], [49, 28, 59], [27, 60, 11], [33, 36, 35, 25, 34, 50], [39, 3, 30, 31, 51], [37, 22, 38, 26], [40], [42, 53, 43, 32, 17], [47, 52], [15, 6, 10]]
3: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
4: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
5: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
6: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
7: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
8: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
9: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
10: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
11: [[35, 21, 17, 3, 6, 1, 2, 4, 13, 5, 7, 11, 8, 9, 27, 10, 15, 25, 14, 30], [12, 18, 20, 16, 23, 19, 22, 24, 26, 28, 29, 31, 40, 36, 32, 33, 34, 38, 37, 39], [41, 46, 43, 42, 45, 44, 47, 49, 50, 52, 55, 48, 51, 53, 54, 56, 58, 57, 59, 60]]
