0: [[12, 7], [3, 5, 1], [10, 4], [6, 8, 11, 9], [2, 13]]
1: [[12, 7], [3, 5, 1], [10, 4], [6, 8, 11, 9], [2, 13]]
2: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
3: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [9, 2, 13]]
4: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
5: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
6: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
7: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
8: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
9: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
10: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11], [2, 9, 13]]
11: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11, 9, 13, 2]]
12: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11, 9, 13, 2]]
13: [[12, 7], [3, 5], [1, 10, 4], [6, 8, 11, 9, 13, 2]]
14: [[12], [3, 5, 1], [10, 4], [8, 11, 6], [9, 13, 2, 7]]
15: [[12], [3, 5], [1, 10, 4], [6, 8, 11], [9, 13, 2, 7]]
16: [[12, 7], [3, 5], [1, 10, 4], [6, 8], [11, 2, 9, 13]]
17: [[12, 7], [3, 5, 1], [10, 4, 6], [8, 11], [2, 9, 13]]
18: [[12, 7, 3, 5], [1, 10, 4], [6, 8, 11, 2, 9, 13]]
19: [[12, 7], [3, 5], [1, 10, 4, 6], [8, 11, 9], [2, 13]]
20: [[12, 7], [3, 5], [1, 10, 4, 6, 8, 11, 9, 2], [13]]
21: [[12, 7], [3, 5], [1, 10, 4, 6, 8, 11, 9, 2], [13]]
22: [[12, 7], [3, 5], [1, 10, 4, 6, 8, 11, 9, 2], [13]]
23: [[12], [5, 3], [1, 10, 2, 4], [6], [8, 11, 9], [13, 7]]
24: [[12], [3, 5], [1, 10, 4], [8, 11, 7], [9, 13, 6], [2]]
25: [[12, 7, 3], [5, 1], [10, 4], [6, 8, 11], [2, 9, 13]]
26: [[12, 7, 3], [5, 1, 10, 4, 6, 8], [11, 2, 9, 13]]
27: [[12, 7, 3], [5, 1, 10], [4, 6, 8, 11, 2, 9, 13]]
