0: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24, 19], [17, 21, 20], [18], [16, 31, 23], [29, 26, 25, 28], [60, 30, 41], [51, 35], [32, 33, 40, 34, 37], [38, 42], [47, 44, 36, 43], [45, 55, 63, 52], [46, 61, 48], [49, 50, 53, 54], [56, 59, 57], [58, 62, 66], [74, 83, 64, 65], [71, 67, 76], [68], [69, 70, 72], [79, 75, 73, 77, 78, 80, 81, 82, 87], [84, 85, 86, 88]]
1: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24, 19], [17, 21, 20], [18], [16, 31, 23], [29, 26, 25, 28], [60, 30, 41], [51, 35], [32, 33, 40, 34, 37], [38, 42], [47, 44, 36, 43], [45, 55, 63, 52], [46, 61, 48], [49, 50, 53, 54], [56, 59, 57], [58, 62, 66], [74, 83, 64, 65], [71, 67, 76], [68], [69, 70, 72], [79, 75, 73, 77, 78, 80, 81, 82, 87], [84, 85, 86, 88]]
2: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8], [27, 11], [13, 12, 24], [19, 17, 21, 20], [18, 16, 31], [23, 29, 26], [25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34], [37, 38, 42, 47], [44, 36, 43], [45, 55, 63], [52, 46, 61, 48], [49, 50, 53, 54], [56, 59, 57], [58, 62, 66, 74], [83, 64, 65, 71, 67], [76, 68, 69, 70], [72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
3: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24, 19], [17, 21, 20], [18, 16, 31, 23], [29, 26, 25, 28], [60, 30, 41, 51], [35, 32, 33, 40], [34, 37, 38, 42], [47, 44, 36, 43], [45, 55, 63], [52, 46, 61, 48], [49, 50, 53], [54, 56, 59], [57, 58, 62], [66, 74], [83, 64, 65, 71], [67, 76], [68, 69, 70, 72], [79, 75, 73, 77], [78, 80, 81], [82, 87, 84], [85, 86, 88]]
4: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24, 19], [17, 21, 20], [18, 16, 31], [23, 29, 26], [25, 28, 60, 30, 41], [51, 35], [32, 33], [40, 34, 37], [38, 42, 47, 44, 36], [43, 45, 55], [63, 52, 46], [61, 48], [49, 50, 53], [54, 56, 59, 57], [58, 62], [66, 74, 83, 64, 65, 71, 67, 76, 68, 69, 70, 72], [79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
5: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31, 23, 29, 26], [25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37, 38], [42, 47, 44], [36, 43, 45, 55, 63], [52, 46, 61, 48], [49, 50, 53, 54, 56, 59, 57, 58, 62, 66, 74, 83, 64, 65, 71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
6: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31], [23, 29], [26, 25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37], [38, 42], [47, 44, 36], [43, 45, 55, 63], [52, 46], [61, 48, 49, 50], [53, 54, 56], [59, 57, 58, 62], [66, 74, 83], [64, 65], [71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
7: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31], [23, 29], [26, 25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37], [38, 42], [47, 44, 36], [43, 45, 55, 63], [52, 46], [61, 48, 49, 50], [53, 54, 56], [59, 57, 58, 62], [66, 74, 83], [64, 65], [71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
8: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31], [23, 29], [26, 25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37], [38, 42], [47, 44, 36], [43, 45, 55, 63], [52, 46], [61, 48, 49, 50], [53, 54, 56], [59, 57, 58, 62], [66, 74, 83], [64, 65], [71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
9: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31], [23, 29], [26, 25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37], [38, 42], [47, 44, 36], [43, 45, 55, 63], [52, 46], [61, 48, 49, 50], [53, 54, 56], [59, 57, 58, 62], [66, 74, 83], [64, 65], [71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
10: [[10, 22, 9, 39, 2], [4, 3], [5, 1], [15, 7, 14], [6, 8, 27, 11], [13, 12, 24], [19, 17, 21], [20, 18, 16, 31], [23, 29], [26, 25, 28], [60, 30, 41], [51, 35, 32, 33], [40, 34, 37], [38, 42], [47, 44, 36], [43, 45, 55, 63], [52, 46], [61, 48, 49, 50], [53, 54, 56], [59, 57, 58, 62], [66, 74, 83], [64, 65], [71, 67, 76, 68, 69, 70, 72, 79, 75, 73, 77, 78, 80, 81, 82, 87, 84, 85, 86, 88]]
