0: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
1: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
2: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
3: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
4: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
5: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
6: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
7: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
8: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
9: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
10: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
11: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
12: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
13: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
14: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
15: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
16: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
17: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
18: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
19: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
20: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
21: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
22: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
23: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
24: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
25: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
26: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
27: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
28: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
29: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
30: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
31: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
32: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
33: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
34: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
35: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5], [9, 12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
36: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11, 5, 9], [12, 8, 13, 15, 19, 18, 20, 17, 22], [21, 23, 24]]
37: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
38: [[16, 10, 2, 1, 7, 4, 6, 14, 3, 11], [5, 9, 12, 8, 13, 15, 19, 18, 20, 17], [22, 21, 23, 24]]
