0: [[9, 13, 22, 1, 2], [3, 5, 4, 6], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
1: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
2: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
3: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
4: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
5: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
6: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
7: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
8: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
9: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
10: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
11: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
12: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
13: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
14: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
15: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
16: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
17: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
18: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
19: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
20: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
21: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
22: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
23: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
24: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
25: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
26: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
27: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
28: [[22, 1, 2, 9, 13], [3, 5, 4, 6], [7, 11, 10, 14, 8], [12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
29: [[22, 1, 2, 9, 13], [3, 5, 4, 6], [7, 11, 10, 14, 8], [12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
30: [[9, 13, 22, 2, 1], [5, 4, 6, 3], [7, 11, 10], [14, 8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
31: [[9, 13, 22, 1], [2, 5, 4, 6, 3], [7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
32: [[9, 13, 22, 2, 1], [5, 4, 3], [6, 7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
33: [[9, 13, 22, 2, 1], [5, 4, 3], [6, 7, 11, 10, 14], [8, 12, 15, 18, 17, 16, 19, 20], [21, 23, 24]]
