0: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
1: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
2: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
3: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
4: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
5: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
6: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
7: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
8: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
9: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
10: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
11: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
12: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
13: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
14: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
15: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
16: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
17: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
18: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
19: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
20: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
21: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
22: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
23: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
24: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15, 12], [16, 17, 18, 22, 20], [21, 23, 24]]
25: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8, 15, 12], [16, 17, 18, 22, 20], [21, 23, 24]]
26: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
27: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
28: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11], [13, 8], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
29: [[1, 19, 2, 9], [3, 4, 10, 6, 5], [7, 14, 11, 13], [8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
30: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14, 11], [13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
31: [[19, 2, 9, 1], [3, 6, 5, 4], [7, 14, 10], [11, 13], [8, 15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
32: [[2], [3, 4, 10], [6, 5, 7, 14, 11], [13, 8, 1, 19, 9], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
33: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14, 11], [13, 8], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
34: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14, 11], [13, 8], [15, 12, 16, 17, 18, 22, 20], [21, 23, 24]]
35: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14], [11, 13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
36: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14], [11, 13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
37: [[1, 19, 2, 9], [3, 4, 10, 6], [5, 7, 14], [11, 13, 8, 15], [12, 16, 17, 18, 22, 20], [21, 23, 24]]
