0: [[13, 7], [9, 6, 11], [3, 5, 1], [12, 2, 8], [10, 4]]
1: [[13, 7], [9, 6, 11], [3, 5, 1], [12, 8, 2], [10, 4]]
2: [[13, 7], [9, 6, 11], [5, 1, 3], [12, 8, 2], [10, 4]]
3: [[13, 7], [9, 6, 11], [3, 5, 1], [12, 2], [8, 4, 10]]
4: [[13, 7], [9, 6, 11], [5, 1, 3], [12, 2], [8, 10, 4]]
5: [[13, 7], [9, 6, 11], [3, 5], [1, 12, 2], [8, 10, 4]]
6: [[13, 7], [9, 6, 11], [3, 5], [1, 12, 2], [8, 10, 4]]
7: [[13, 9, 7], [6, 11], [3, 5, 1], [12, 8, 2], [10, 4]]
8: [[13, 9, 7], [6, 11], [5, 1, 3], [12, 8, 2], [10, 4]]
9: [[13, 7, 9], [6, 11], [5, 1, 3], [12, 8, 2], [10, 4]]
10: [[13, 9, 7], [6, 11], [3, 5, 1], [12, 8, 2], [10, 4]]
11: [[13, 9, 7], [6, 11], [5, 1, 3], [12, 2], [8, 10, 4]]
12: [[13, 7], [9, 6, 11], [3, 5, 1, 12, 2, 8, 10, 4]]
13: [[13, 7], [9, 6, 11], [3, 5, 1, 12, 2, 8, 4, 10]]
14: [[13], [9, 11, 7], [3, 5, 1], [12, 8, 6, 2], [10, 4]]
15: [[13, 9, 7], [6, 11], [3, 5, 1], [12, 8, 10, 2, 4]]
16: [[13, 9, 7], [6, 11], [3, 5, 1], [12, 8, 10, 2, 4]]
17: [[13, 9, 7], [6, 11], [5, 1, 3], [12, 8, 10, 2, 4]]
18: [[13, 9, 7], [6, 11], [3, 5, 1], [12, 8, 10, 2, 4]]
19: [[13, 7], [9, 6, 11], [3, 5], [1, 12], [8, 10, 2, 4]]
20: [[13, 7], [9, 6, 11], [5, 1, 3], [12, 10, 8, 4], [2]]
21: [[13, 7], [9, 6, 11, 3, 5, 1], [12, 2, 8, 10, 4]]
22: [[13, 7], [9, 6], [11, 5, 1, 2, 3], [12, 8, 10, 4]]
23: [[13, 7], [9, 6], [11, 3, 5], [1, 12, 2], [8, 4, 10]]
24: [[13, 7], [9, 6], [11, 3, 5], [1, 12, 2], [8, 10, 4]]
25: [[13, 9], [6, 11, 5, 1, 2], [12, 8, 7], [3, 10, 4]]
26: [[13], [9, 6, 11, 3, 7], [5, 1], [12], [8, 10, 2, 4]]
27: [[13], [9, 5, 6], [11, 3, 7], [1, 12], [8, 10, 2, 4]]
