0: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
1: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
2: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
3: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
4: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
5: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
6: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
7: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
8: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
9: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
10: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
11: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
12: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
13: [[1, 8], [27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
14: [[1, 8], [27, 26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
15: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
16: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
17: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
18: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
19: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
20: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
21: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
22: [[1, 8, 27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25], [6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
23: [[1, 8, 27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25], [6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
24: [[1, 8, 27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25], [6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
25: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29, 12, 14], [5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
26: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29, 12, 14], [5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
27: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29, 12, 14], [5, 25, 6], [20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
28: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13], [29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
29: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13], [29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
30: [[1, 8], [27, 26, 21, 7, 15, 11, 4, 2, 3, 19, 13], [29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
31: [[1, 8], [27, 26, 21, 7, 15, 11, 4, 2, 3, 19, 13], [29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
32: [[1, 8], [27, 26, 21, 7, 15, 11, 4, 2, 3, 19, 13], [29, 12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
33: [[1, 8, 27], [26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
34: [[1, 8, 27], [26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
35: [[1, 8, 27], [26, 21], [7, 15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
36: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29, 12, 14], [5, 25], [6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
37: [[1, 8, 27, 26, 21], [7, 15, 11, 4, 2, 3, 19, 13, 29, 12, 14], [5, 25, 6], [20, 28, 18], [24, 10], [16, 23, 17, 9, 22]]
38: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29], [12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
39: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29], [12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
40: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29], [12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
41: [[1, 8, 27], [26, 21], [7, 15, 11, 4, 2], [3, 19, 13, 29, 12, 14, 5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
42: [[1, 8, 27], [26, 21, 7, 15, 11, 4, 2, 3, 19, 13, 29], [12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
43: [[1, 8, 27], [26, 21, 7, 15, 11, 4, 2, 3, 19, 13, 29], [12, 14], [5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
44: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13], [29, 12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
45: [[1, 8, 27, 26, 21, 7, 15, 11, 4, 2, 3], [19, 13, 29], [12, 14], [5, 25, 6, 20, 28], [18, 24, 10], [16, 23, 17, 9, 22]]
46: [[1, 8, 27], [26, 21, 7], [15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
47: [[1, 8, 27], [26, 21, 7], [15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
48: [[1, 8, 27], [26, 21, 7], [15, 11], [4, 2, 3, 19, 13, 29, 12, 14, 5, 25, 6], [20, 28, 18, 24, 10], [16, 23, 17, 9, 22]]
