0: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
1: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
2: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
3: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
4: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
5: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
6: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
7: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
8: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
9: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
10: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
11: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
12: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
13: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
14: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
15: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
16: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
17: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
18: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
19: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
20: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
21: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
22: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
23: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
24: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
25: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
26: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
27: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
28: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
29: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
30: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
31: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
32: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
33: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
34: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
35: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
36: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
37: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4], [5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
38: [[9, 11, 12], [1, 3, 2, 8], [13, 14, 4, 5], [10, 7, 6], [17, 15, 16], [20, 18, 19]]
39: [[9, 11, 12], [1, 3, 2], [8, 13, 14], [4, 5, 10, 7], [6, 17, 15, 16], [20, 18, 19]]
