0: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55, 35, 80, 6], [16, 12, 22], [1], [59, 9, 8, 20], [73, 5, 38, 42], [69], [14, 11, 15, 46, 41, 57], [4, 19], [74, 7, 37, 40], [28, 29, 49, 30], [23, 13, 24, 36, 43], [52, 32, 58], [78, 88, 26, 34], [31, 47, 27, 54], [65, 33, 72], [75, 18, 67, 45], [83, 51, 85], [66, 63, 53, 70], [60, 62, 86, 68, 84, 64], [76, 87, 71], [79, 82], [81]]
1: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55, 35, 80, 6], [16, 12, 22], [1], [59, 9, 8, 20], [73, 5, 38, 42], [69], [14, 11, 15, 46, 41, 57], [4, 19], [74, 7, 37, 40], [28, 29, 49, 30], [23, 13, 24, 36, 43], [52, 32, 58, 78], [88, 26, 34, 31], [47, 27, 54], [65, 33, 72, 75], [18, 67, 45, 83], [51], [85, 66, 63, 53], [70, 60, 62], [86], [68, 84, 64, 76], [87, 71, 79], [82, 81]]
2: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55], [35, 80, 6], [16, 12, 22, 1], [59, 9, 8, 20], [73, 5, 38, 42], [69, 14, 11], [15, 46, 41, 57, 4], [19, 74, 7, 37], [40, 28, 29], [49, 30, 23], [13, 24, 36, 43], [52, 32, 58], [78, 88, 26, 34], [31, 47, 27, 54], [65, 33, 72], [75, 18, 67, 45], [83, 51, 85, 66], [63, 53, 70, 60], [62, 86, 68, 84], [64, 76, 87], [71, 79, 82, 81]]
3: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55], [35, 80], [6, 16, 12, 22], [1, 59, 9, 8], [20, 73, 5, 38], [42, 69, 14], [11, 15, 46, 41], [57, 4, 19, 74], [7, 37, 40], [28, 29, 49, 30], [23, 13, 24, 36], [43, 52, 32], [58, 78, 88, 26], [34, 31, 47, 27], [54, 65, 33, 72, 75], [18, 67, 45], [83, 51, 85], [66, 63, 53, 70], [60, 62, 86, 68], [84, 64, 76, 87, 71], [79, 82, 81]]
4: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55, 35, 80, 6], [16, 12, 22], [1], [59, 9, 8, 20], [73, 5, 38, 42], [69], [14, 11, 15, 46, 41, 57], [4, 19], [74, 7, 37, 40, 28], [29, 49, 30], [23], [13, 24, 36, 43], [52, 32, 58, 78], [88], [26, 34, 31], [47, 27, 54, 65], [33, 72, 75, 18], [67, 45, 83, 51, 85], [66, 63, 53], [70, 60, 62, 86], [68, 84, 64, 76, 87, 71, 79, 82, 81]]
5: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55], [35, 80, 6], [16, 12, 22, 1], [59, 9, 8, 20], [73, 5, 38, 42, 69, 14], [11, 15, 46, 41], [57, 4, 19, 74], [7, 37], [40, 28, 29], [49, 30, 23, 13], [24, 36, 43], [52, 32, 58], [78, 88], [26, 34, 31], [47, 27, 54, 65, 33, 72, 75, 18, 67, 45, 83, 51, 85, 66, 63, 53, 70, 60, 62, 86, 68, 84, 64, 76, 87], [71, 79, 82, 81]]
6: [[39, 77], [2, 10, 25, 44], [61, 48, 17, 3, 56], [21, 50, 55], [35], [80, 6, 16, 12], [22, 1, 59, 9, 8], [20], [73, 5], [38, 42], [69], [14, 11, 15, 46, 41, 57], [4, 19], [74, 7, 37, 40], [28, 29, 49, 30], [23, 13, 24, 36, 43], [52, 32, 58], [78, 88, 26, 34], [31, 47, 27, 54], [65, 33, 72], [75, 18, 67, 45], [83, 51, 85], [66, 63, 53, 70], [60, 62, 86, 68, 84, 64], [76, 87, 71], [79, 82], [81]]
7: [[39, 77, 2, 10, 25, 44], [61, 48], [17, 3, 56, 21], [50, 55], [35, 80], [6, 16, 12, 22], [1, 59, 9], [8, 20, 73, 5, 38], [42, 69, 14, 11], [15, 46, 41], [57, 4, 19], [74, 7, 37, 40, 28, 29], [49, 30, 23], [13, 24, 36, 43, 52, 32, 58, 78, 88, 26, 34], [31, 47, 27, 54], [65, 33, 72], [75, 18, 67, 45], [83, 51, 85], [66, 63, 53, 70], [60, 62, 86, 68, 84, 64], [76, 87, 71], [79, 82], [81]]
8: [[39, 77, 2, 10, 25, 44], [61, 48], [17], [3, 56, 21, 50], [55, 35, 80, 6], [16, 12, 22, 1], [59, 9, 8, 20], [73, 5, 38, 42, 69], [14, 11, 15], [46, 41, 57, 4], [19, 74, 7, 37], [40, 28, 29], [49, 30, 23, 13], [24, 36, 43], [52, 32, 58, 78], [88, 26], [34], [31, 47, 27, 54, 65, 33, 72, 75, 18], [67, 45, 83, 51, 85, 66, 63, 53, 70], [60, 62, 86, 68, 84, 64, 76, 87, 71, 79, 82, 81]]
9: [[39, 77], [2, 10, 25, 44], [61, 48, 17, 3, 56], [21, 50, 55], [35], [80, 6, 16, 12, 22], [1, 59, 9, 8], [20], [73, 5, 38, 42], [69, 14, 11], [15, 46, 41], [57, 4, 19, 74], [7, 37], [40, 28, 29, 49], [30], [23, 13, 24, 36, 43], [52, 32, 58, 78], [88, 26, 34, 31], [47, 27, 54, 65], [33, 72, 75], [18, 67, 45, 83, 51], [85, 66, 63, 53, 70, 60, 62, 86, 68, 84, 64, 76, 87, 71, 79, 82, 81]]
10: [[39, 77, 2, 10], [25, 44, 61], [48, 17, 3, 56], [21, 50, 55, 35], [80, 6], [16, 12, 22, 1], [59, 9, 8, 20], [73, 5, 38, 42], [69, 14, 11], [15, 46, 41, 57], [4, 19, 74, 7], [37, 40, 28], [29, 49, 30, 23], [13, 24, 36, 43], [52, 32, 58, 78], [88, 26, 34, 31], [47, 27, 54], [65, 33, 72, 75], [18, 67, 45, 83, 51], [85, 66, 63], [53, 70, 60, 62], [86, 68, 84], [64, 76, 87, 71], [79, 82], [81]]
