0: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
1: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 23, 17], [21, 25, 26, 20, 27, 28, 29]]
2: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
3: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 23, 16, 14], [21, 25, 26, 20, 27, 28, 29]]
4: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 23, 16, 14], [21, 25, 26, 20, 27, 28, 29]]
5: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
6: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 23, 17], [21, 25, 26, 20, 27, 28, 29]]
7: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
8: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 16, 23, 14], [21, 25, 26, 20, 27, 28, 29]]
9: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
10: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
11: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 23, 17, 16, 14], [21, 25, 26, 20, 27, 28, 29]]
12: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 23, 17, 16, 14], [21, 25, 26, 20, 27, 28, 29]]
13: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 23, 17], [21, 25, 26, 20, 27, 28, 29]]
14: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
15: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 17, 16], [21, 25, 26, 20, 27, 28, 29]]
16: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
17: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
18: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 17, 16], [21, 25, 26, 20, 27, 28, 29]]
19: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 16, 17, 23, 14], [21, 25, 26, 20, 27, 28, 29]]
20: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
21: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 16, 17], [21, 25, 26, 20, 27, 28, 29]]
22: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
23: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 17, 16], [21, 25, 26, 20, 27, 28, 29]]
24: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
25: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
26: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
27: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 16, 23, 14], [21, 25, 26, 20, 27, 28, 29]]
28: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 23, 17], [21, 25, 26, 20, 27, 28, 29]]
29: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
30: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 23, 16], [21, 25, 26, 20, 27, 28, 29]]
31: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
32: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 17, 16], [21, 25, 26, 20, 27, 28, 29]]
33: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 16, 23, 14], [21, 25, 26, 20, 27, 28, 29]]
34: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 23, 17], [21, 25, 26, 20, 27, 28, 29]]
35: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 17, 16, 23, 14], [21, 25, 26, 20, 27, 28, 29]]
36: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
37: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 16, 17, 23], [21, 25, 26, 20, 27, 28, 29]]
38: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 23, 17, 16], [21, 25, 26, 20, 27, 28, 29]]
39: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
40: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
41: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
42: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
43: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
44: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
45: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
46: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
47: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
48: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
49: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
50: [[19, 24, 2, 6, 5, 10], [3, 8, 1, 4, 15, 11, 12], [18, 7, 9, 13, 22, 14, 17, 16, 23], [21, 25, 26, 20, 27, 28, 29]]
