0: [[33, 13, 6, 21], [50, 25], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 14], [11, 8, 27], [4, 7, 17], [19, 20, 32], [31, 46, 42, 39, 24], [34, 36, 58, 15, 26, 37, 29, 45, 54, 52, 10, 12], [23, 40, 44, 18], [22, 28, 55, 48], [47, 41, 43], [59, 56, 60], [53], [49, 57]]
1: [[33, 13, 6, 21], [50, 25], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 14], [11, 8, 27], [4, 7, 17], [19, 20, 32], [31, 46, 42, 39, 24], [34, 36, 58, 15, 26, 37, 29, 45, 54, 52, 10, 12], [23, 40, 44, 18], [22, 28, 55, 48], [47, 41, 43], [59, 56, 60], [53], [49, 57]]
2: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
3: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
4: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
5: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
6: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
7: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
8: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
9: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
10: [[33, 13, 50], [17, 6, 21], [38, 5, 1], [51, 3, 30], [9, 35, 2], [16, 15, 18], [8, 11, 27], [4, 7, 25], [19, 20, 32], [31, 46, 42], [39, 34, 36], [58, 14, 26], [37, 29, 10], [40, 24, 12], [52, 55, 45], [23, 22, 28], [44, 60, 48], [47, 41, 43], [59, 56, 54], [53, 49, 57]]
