0: [[3, 5, 1], [11, 6, 8], [4, 10], [2, 7, 13, 12, 9]]
1: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
2: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
3: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
4: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
5: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
6: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
7: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
8: [[5, 1, 3], [11, 8, 6], [4, 10], [2, 7, 13, 12, 9]]
9: [[5, 3], [11, 6, 8], [4, 10, 1], [2, 7, 13, 12, 9]]
10: [[5, 1, 3], [11, 8, 4, 6], [10, 2], [7, 13, 12, 9]]
11: [[5, 1, 3], [11, 8, 4, 6], [10, 2], [7, 13, 12, 9]]
12: [[5, 1, 3], [11, 8, 4, 6], [10, 2], [7, 13, 12, 9]]
13: [[5, 1, 3], [11, 8, 4, 6], [10, 2], [7, 13, 12, 9]]
14: [[3, 5, 1], [11, 6], [8, 4], [10, 2, 7, 13, 12, 9]]
15: [[3, 5], [1, 11, 6, 8, 4], [10, 2], [7, 13, 12, 9]]
16: [[5, 3], [11, 6], [8, 4, 1], [10, 2, 7, 13, 12, 9]]
17: [[5, 3], [11, 6], [8, 4, 1], [10, 2, 7, 13, 12, 9]]
18: [[5, 3], [11, 6], [8, 4, 1], [10, 2, 7, 13, 12, 9]]
19: [[5, 3], [11, 6], [8, 4, 1], [10, 2, 7, 13, 12, 9]]
20: [[3, 5], [1, 11, 6, 8, 4], [10, 2], [7, 13, 12, 9]]
21: [[3, 5, 1, 11], [6, 8], [4, 10], [2, 7, 13, 12, 9]]
22: [[3, 5, 1, 11], [6, 8], [4, 10], [2, 7, 13, 12, 9]]
23: [[5, 1, 3, 11], [6, 8, 4], [10, 2], [7, 13, 12, 9]]
24: [[5, 1, 3, 11], [6, 8, 4], [10, 2], [7, 13, 12, 9]]
25: [[5, 1, 3, 11], [6, 8, 4], [10, 2], [7, 13, 12, 9]]
26: [[5, 1, 3, 11], [6, 8, 4], [10, 2], [7, 13, 12, 9]]
27: [[5, 1, 3, 11], [6, 8, 4], [10, 2], [7, 13, 12, 9]]
