0: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
1: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
2: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
3: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
4: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
5: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
6: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
7: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
8: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
9: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
10: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
11: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
12: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
13: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
14: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
15: [[3, 30, 31, 51], [59], [33, 49, 34], [9], [22], [40, 42], [39], [7, 48, 37, 29], [15, 47, 6, 10], [58, 8], [1, 35, 2], [28, 23, 25], [57], [27, 43, 11], [14, 38, 26], [36, 52, 50], [53], [32, 60, 17], [16, 44, 54, 18], [55], [20, 19, 24, 45, 12], [13, 41, 21], [5], [4, 56, 46]]
